id,full_text,Stigmatizing,Anti-stigmatizing,News/Facts/misinformation,Political ,other,comments,Number of assigned labelles,,,
1220038696684134401,Dinner anyone? #batsashimi #wuhan #WuhanCoronavirus #WuhanOutbreak #WuhanPneumonia #WuhanSARS @patel4witham @foreignoffice @DominicRaab @TomTugendhat @BorisJohnson @tariqahmadbt @hk_watch @GOVUK @UKHouseofLords @UKParliament @CatherineWest1 @HeatherWheeler @MattHancock https://t.co/UrlODgkC4G,1,,,,,,1,,"totall labells assigned (including column ""other"")",8833
1220039068760846336,Or in a bowl of soup? #batsashimi #wuhan #WuhanCoronavirus #WuhanOutbreak #WuhanPneumonia #WuhanSARS @patel4witham @foreignoffice @DominicRaab @TomTugendhat @BorisJohnson @tariqahmadbt @hk_watch @GOVUK @UKHouseofLords @UKParliament @CatherineWest1 @HeatherWheeler @MattHancock https://t.co/3iXHSWoen2,1,,,,,,1,,number of rows (tweets),8745
1220050235965263872,"#Breaking 
From 10 am on January 23, the city's urban bus, subway, ferry, and long-distance will be suspended; for no special reason, citizens should not leave Wuhan. The airport and train station departing from Wuhan will be temporarily closed. #WuhanOutbreak #WuhanCoronavirus https://t.co/agjLVccI9E", ,,1,,,,1,,num of double labelled rows,88
1220062621472382976,Indian Govt. Scanned 9156 Passengers From 43 Flights For Novel Coronavirus (nCoV) https://t.co/Nj9b6iPvVg #WuhanCoronavirus #WuhanSARS #WuhanOutbreak #WuhanPneumonia #wuhanvirus #coronavirus #NovelCoronavirus #nCoV, ,,1,,,,1,,,
1220064407851417600,There is one cas now in the US according to CDC.  #coronavirus #ChinesePneumonia https://t.co/ky0VMoSCa9, ,,1,,,,1,,,
1220084677416976384,"#Wuhancoronavirus: Symptoms of deadly nCoV, 
    As #millionschinese 
         ...  #airplanes 
       #ChineseNewYears

https://t.co/w4qQpPX4hh https://t.co/gEumokJFKJ",,,1,,,,1,,,
1220103868765364225,"#Wuhan #WuhanCoronavirus #wuhanvirus #WuhanOutbreak #WuhanSARS #WuhanPneumonia #CoronavirusOutbreak 

The City of Wuhan is officially closed for travel in/out.  11 million lives in Wuhan. https://t.co/oiRICT661K", ,,1,,,,1,,,
1220106970826526720,"This is the most disgusting thing I have ever seen ppl will put in their mouth.  Brainless! History repeats itself🤬
#WuhanCoronavirus 
#China_is_terrorist https://t.co/XWiEWCxZVL",1,,,,,,1,,,
1220108743293059072,"(this guy had) ""traveled...,BY HIGH-SPEED RAIL EARLIER IN THE DAY"" (January 23, 2020; 6:03 HKT) #wuhancoronavirus #wuhanoutbreak #wuhanvirus #wuhanflu #HONGKONG #HK", ,,1,,,,1,,,
1220121606313275392,"BREAKING: Wuhan, China halts all travel in and out of the city after Corona Disease kills 17, and has infected over 600+ people worldwide.

Scientists at the CDC are saying that over 10,000+ people could have been exposed to the deadly virus.

#CoronaVirus #Corona #VirusChina https://t.co/CSgJAoLNJF",,,1,,,,1,,,
1220128637669777409,"@Langley32514573 @DrTedros @WHO WHO take action to contain a contagion?

 Hell will freeze over first!

#WuhanCoronavirus #WuhanPneumonia #WuhanOutbreak #ChinaPneumonia",,,,1,,,1,,,
1220139790881841152,"While some people in #LunarNewYear flower fair were willing to buy upsold N95 masks to prepare for the worst, some believed that trusting the #CCP would enable them immune from #ChinesePneumonia.

Source: Cable News China Desk https://t.co/ch3TbQEbiC https://t.co/gR7xivg0Hk",,,1,,,,1,,,
1220143798346346501,@alphacentauriii Nature strikes back ! #ChinesePneumonia #WuhanCoronavirus #coronavirus,,,,,1,opinion,1,,,
1220144385230159872,"Great time for trump's continued de-funding of the CDC.

#CoronavirusChino",,,,1,,,1,,,
1220152072185638912,"@realKyleOlbert This is just getting worse.🤮
#WuhanCoronavirus #ChinesePneumonia",,,,,1,opinion,1,,,
1220155716603990016,"@TruthRaiderHQ Is it a new #Communist #China tyranny regime's fake news trick?

Plenty of new death from poisonous air = 0 death from #WuhanCoronavirus 

#WuhanOutbreak controlled. &lt;- #XiJinping wins.",,,,1,,,1,,,
1220163311376814080,Awful! Disgusting! #WuhanCoronavirus #Wuhan #WuhanSARS #coronavirus #VirusChina #VirusCorona #boycottBeijing2022 #stopbeijing2022 https://t.co/G9Zwoi5Biq,,,1,,,,1,,,
1220166870998798338,"Fears over new SARS -like virus . There's a lot more we can do to control these epidemics than just drugs and vaccine. Says Raina Macintyre , Professor of Global biosecurity  #WuhanCoronavirus #coronavirus #CoronavirusChino @KirbyInstitute 
@abc730 
https://t.co/xAzR0C5qaT",,,1,,,,1,,,
1220176090733264898,"@alphacentauriii Chinese are so marvelous that they can eat everything...
If an alien has to capture someone for biopsy, Chinese must be the first choice!
#WuhanCoronavirus
#Wuhan
#WuhanSARS 
#WuhanOutbreak https://t.co/vyjoOiD72f",1,,,,,,1,,,
1220183548637794304,Salute to these journalists who are risking their lives to bring their readers (and the world) the latest news on #Wuhan’s epidemic. Let’s pray for their safety!! #WuhanVirus #WuhanPneumonia #WuhanOutbreak #WuhanCoronavirus #Coronavirus #CoronavirusChino https://t.co/ujrUsc3tzI,,,,,1,opinion,1,,,
1220186861743661056,"“Hui’s account, along with others that have emerged in recent days, suggest that the coronavirus could be far more prevalent than Chinese health authorities have acknowledged,” writes @annafifield #Wuhan #WuhanCoronavirus #WuhanOutbreak #WuhanPneumonia #ChinaPneumonia #China https://t.co/V0OjkRbytv",,,1,,,,1,,,
1220186940827410433,"Wuhan coronavirus: outbreak wreaks havoc on China’s Lunar New Year travel plans, hitting family reunions #China #china #wuhan #coronavirus #CoronavirusOutbreak #WuhanCoronavirus #WuhanSARS #WuhanOutbreak 
https://t.co/Cs7XT0cZhZ https://t.co/iXYuJU0U48",,,1,,,,1,,,
1220187529292337152,"WTF
The world MUST be better without #chinazi 
#ChinaziVirus 
#WuhanCoronavirus 
#WuhanSARS 
#WuhanPneumonia https://t.co/Q5rY7iwtTT",1,,,,,,1,,,
1220189937590398976,"Live in Shanghai, China, don't see many safety procedures on the #WuhanCoronavirus  And to be honest the scares me, before the #ChineseNewYear starts and the everybody starts traveling including the infected people. 
#WuhanOutbreak 
#WuhanSARS
#Wuhan",,,1,,,,1,,,
1220190507843739653,"Absurd things happen when gov isn’t accountable to its people but another authoritarian regime.

#WuhanCoronavirus #WuhanOutbreak #WuhanOutbreak https://t.co/i1lUa9kTei",,,,1,,,1,,,
1220192500331229184,"how to brew new virus
step 1 :find some raw meat
step 2:fresh is better
step 3:swallow it whole
#chinazi 
#WuhanCoronavirus #WuhanPneumonia 
https://t.co/BLGM21uIcX",1,,,,,,1,,,
1220195973952987138,"#DePressRoom | #Coronavirus takes 9 lives in China, a big epidemic on its way?

#Corona #CoronavirusChino #CoronavirusOutbreak #coronaviruses 

@UN @UNinIndia @WHO https://t.co/GaUGg5hMj8",,,1,,,,1,,,
1220196192606248960,"All Nippon Airways (ANA), the largest airline in Japan, suspended all direct flights to Wuhan.  #chinavirus #WuhanCoronavirus #WuhanSARS #WuFlu #WuhanOutbreak https://t.co/UM28LeJGZQ",,,1,,,,1,,,
1220196503379042304,"When #Chinese themselves realize that it is all lies from #CCP but it is too late. 
#China #WuhanCoronavirus #wuhanflu #authoritarian https://t.co/BkHVzC1fa4",,,,1,,,1,,,
1220197371448938497,Take care Hong Kongers!  #WuhanCoronavirus #HongKong #antichinazi #WuhanSARS,,,,,1,opinion,1,,,
1220198811324141568,"Someone said the same thing in 2015 🤭🤭

@toptenz time to update this article with what’s going on in China now

#Wuhan #WuhanCoronavirus #WuhanOutbreak #WuhanPneumonia #HungerGames #武汉肺炎 #武汉封城 #武漢 #武漢肺炎 #武漢封城 #飢餓遊戲

https://t.co/lWC0dqnkXV",,,,,1,opinion,1,,,
1220210440040411137,"Not sure if it is real or not, but I suspect it is real. Watch and trust at your own discretion! #WuhanPneumonia #WuhanCoronavirus much worse than any news outlet is telling us b/c the #ccp #chinese gov't lies! #WuhanSARS #wuhanvirus #sars #virus #disease #wuhanexit #wuhan #China https://t.co/UJPYIghxMx",,,,1,,,1,,,
1220211365580693505,"Both Google Flight and Flightware show that a Cathay Dragon flight from #Wuhan is expected to land on #HongKong an hour later, despite the blockade because of the #ChinesePneumonia epidemic. https://t.co/jQJ099jBR5",,,1,,,,1,,,
1220232173795414016,Stop eating vermin you filthy bastards #WuhanSARS #WuhanCoronavirus #ChinesePneumonia https://t.co/X4C8CYOwaa,1,,,,,,1,,,
1220238077077016576,"Unicharm, Japanese masks production company, in view of 10 times increase of orders, produces masks 24 hours a day. #WuhanCoronavirus #Wuhan #wuhanvirus #WuhanOutbreak #WuhanLockDown https://t.co/X6L2wPgBwH",,,1,,,,1,,,
1220241337607507968,"Coincidence or Pattern?

1720: Plague Epidemic
1820: Cholera Outbreak
1920: Bubonic Plague
2020: Coronavirus Outbreak
@zlj517 
#wuhansars #wuhan #WuhanCoronavirus #WuhanOutbreak #coronavirus",,,1,,,,1,,,
1220261667365249024,"The useless #HongKong government continues to refuse to put the health and safety of Hongkongers first.
#WuhanCoronavirus 
#coronavirus
#WuhanSARS 
#WuhanPneumonia 
#wuhanflu https://t.co/I7lYcW2X6Q",,,,1,,,1,,,
1220262226570801153,"Preventive measures from #coronavirus 🦠
 
#CoronavirusOutbreak #CoronavirusChino #NovelCoronavirus #WuhanCoronavirus #Wuhan #WuhanLockDown #nCoV #nCoV2019 #WHO #disease #Corona #traveltips #travel #ThursdayThoughts https://t.co/DyvqZCJJ3c",,,1,,,,1,,,
1220264030998319104,"The two highly suspicious cases of #WuFlu in #HongKong were officially diacongized as #WuhanCoronavirus .

#WuhanSARS #WuhanLockDown #wuhanflu https://t.co/1F0LJyhaNv",,,1,,,,1,,,
1220290625116999682,"Federal government republic of #Nigeria and #LagosState government, please, Check anybody coming from China, At least 17 people are dead in China and more than 500 are infected, as the #Wuhancoronavirus  spread, we don't want to have another Ebola!",,,1,,,,1,,,
1220295636949463040,@BBCWorld It doesn’t coz #CCP govt announced the city lockdown many hours in advance. Guess what? The irresponsible ones escaped right away and bragged abt their success on social media. Here are some of the stories... #WuhanSARS #WuhanLockDown #WuhanOutbreak https://t.co/xfS0Jfa9PJ,,,1,,,,1,,,
1220300871319400452,"@PDChina Then why these two flights departed from #Wuhan to #Beijing and #Guangzhou? Empty flights maybe? 🤷🏻‍♀️👀

#CoronavirusChino #CoronavirusOutbreak #coronavirus #WuhanCoronavirus https://t.co/XKbd1q5T5T",,,1,,,,1,,,
1220309489829593089,"From tonight, 20 million ppl will be under lockdown. Do the math. 

#Wuhancoronavirus #WuhanLockDown",,,1,,,,1,,,
1220317887778320391,"@bingyuicejade @AndyLau33294279 You should understand how come all these people suffer? Why? And how do we stop it? If suspected cases and infection detail can be announced upfront, better control of the situation can apply! #ChinaziVirus #WuhanPneumonia #WuhanCoronavirus https://t.co/TsgQumQyA2",,,1,,,,1,,,
1220325607155699713,Rumors from Weibo claiming a family of 4 departing from Nanjiang Airport but both children were not allowed to get on the plane because of fever. The parents choose to leave the children in airport &amp; flew away #WuhanCoronavirus #Wuhan #ChinesePneumonia #China_is_terrorist https://t.co/yJ2cN2v55Z,,,1,,,,1,,,
1220331796396527616,@Dystopia992 @Fight4HongKong Shame on #cathaypacific #CX who put the passengers’ health and safety  at the last place #WuhanCoronavirus #WuhanPneumonia #WuhanOutbreak,,,1,,,,1,,,
1220336990027239429,"When Chinese Communist Party #CCP tyranny regime has destroyed #China and all the good historical #Chinese things and turns them all to a #Communist living hell for 70years, perhaps this is the cure. 

#WuhanCoronavirus
#WuhanSARS 
#WuhanOutbreak https://t.co/xeQnsOqQmC",,,,1,,,1,,,
1220337276447645697,"This is chinese dish “3 squeaks”, the MICE squeak once at being held by redhot chopsticks, another at being dipped in sauce, last at being eaten alive. Wonder why there’s an outbreak? #CoronavirusOutbreak #Wuhan #China #ChinesePneumonia #coronavirus #WuhanCoronavirus https://t.co/u0dWY0oCTS",1,,,,,,1,,,
1220342019123380226,"Novel #Coronavirus (2019- #nCoV): Advice for the Public 
https://t.co/6RCk0qolHv  
#VirusCorona #VirusChina #CoronavirusOutbreak #coronavirus",,,1,,,,1,,,
1220343052084088833,"Verdict on China's handling of #Wuhancoronavirus to date: Better than with Sars, but not good enough. Not nearly good enough.
How China’s slow response aided coronavirus outbreak https://t.co/v2gqh7VTnI via @financialtimes",,,1,,,,1,,,
1220345767656902656,"Seriously am I the only one who hears Corona virus and thinks of this?
 #coronovirus #coronaviruses #corona #CoronavirusOutbreak #coronaviruschina #Wuhan #WuhanCoronavirus #wuhanvirus #WuhanOutbreak #WuhanLockDown #wuhanflu #wuhanexit #WuhanSARS 

https://t.co/jItfaqb4Ug",,,,,1,opinion,1,,,
1220349162253742081,"@Aloha88617098 @Woppa1Woppa What's the civilization?

#Wuhan #WuhanCoronavirus #WuhanPneumonia #BoycottChina #ChinesePneumonia #BoycottMulan #China_is_terrorist https://t.co/VNQ45UE1wm",1,,,,,,1,,,
1220352709531852810,@bbcchinese @AndyLau33294279 @bbcchinese Can you tell the world why the announcement only make until now? So what happen of the people in WuHan? Any clue to control the infection? Or they just wait to die? #ChinaziVirus #WuhanCoronavirus #WuhanPneumonia https://t.co/sRP6xrw1RN,,,1,,,,1,,,
1220356169094651904,#Coronavirus fears in #Scotland as two in hospital after #China trip https://t.co/YrZ0XX3dkM #Wuhancoronavirus,,,1,,,,1,,,
1220356308802637829,"🚨 Breaking new：#Guangdong province declared a level 1 public health emergency response to the novel #Wuhancoronavirus just now !(Severe Level Ranked from 1-4, 1 is the worst) https://t.co/ouZUKru5ru",,,1,,,,1,,,
1220357818617712644,"@AbCelleraBio is responding to the Wuhan outbreak
#antibodytherapeutic #Wuhan #Wuhancoronavirus #coronavirus #2019nCoV #antibody #singlecell https://t.co/mbszfVNO21",,,1,,,,1,,,
1220358007885713410,Most current global stats on #WuhanCoronavirus #WuhanOutbreak . https://t.co/pKWxRu4Kgk,,,1,,,,1,,,
1220360086364643329,"Hospitals in Wuhan have been severely overloaded as thousands of potentially infected individuals seek medical help.

#WuhanCoronavirus #WuhanPneumonia #WuhanOutbreak #WuhanLockDown #CoronaVirus https://t.co/syXUm0JSKC",,,1,,,,1,,,
1220366646147084288,@hkgetv is planning to distribute free masks that are either N95 or P100 equivalent during rallies and assemblies that are protected by Letter of No Objection to combat against pharmacies that sell masks more expensive than usual. #ChinesePneumonia #HongKongProtests https://t.co/jmHlhyVABm,,,1,,,,1,,,
1220367714729873408,"Uh, what are they spraying? 😳 #WuhanLockDown #wuhanvirus #WuhanCoronavirus #WWZ https://t.co/sxvkbvLcVv",,,,,1,questions,1,,,
1220369346779697154,"Latest updates of the novel #coronavirus outbreak:
1. Virus spreads to Singapore, Vietnam
2. 2 new cases in Gansu (not shown in map)
3. Only Tibet, Qinghai, Inner Mongolia stay clean (so far).
#WuhanPneumonia #WuhanOutbreak https://t.co/NjC97fOCU7",,,1,,,,1,,,
1220375681407733761,"Picture on the left is what I saw in the morning, and picture on the right is what I saw in the evening. Horrible.There is a shortage of masks and goggles in many hospitals in #Wuhan.
#WuhanCoronavirus #WuhanPneumonia #WuhanOutbreak #coronavirus #coronovirus https://t.co/OTBCSv0zAc",,,1,,,,1,,,
1220380720142651393,"Time for #Orwell type games 😏
#Wuhan ? 🤔
#武漢 #China #WuhanCoronavirus #Wuhan #WuhanOutbreak #Africa #MH17 #Trending #Shanghai #virus #VirusCorona #VirusChina #ThursdayMotivation https://t.co/zUnARGjNYP",,,,,1,opinion,1,,,
1220384144808525824,"People in Wuhan being smuggled out of Wuhan.  There’s no real travel ban is there? 

Why are we still allowing the Mainlanders to come to HK? 🤦🏻🤦🏻‍♀️

#notmychina
#WuhanCoronavirus #wuhansars
#wtf #SOSHK https://t.co/u2YSZyCr0v",,,1,,,,1,,,
1220389999343960065,"wuhan virus is from the coronavirus virus family. coronavirus is a virus usually seen in animals. that is, it cannot be understood exactly what happened.
#Wuhan  #wuhanvirus  #coronovirus #Corona #WuhanCoronavirus",,,1,,,,1,,,
1220390921876828160,#CoronavirusChino quarantaine in China but still direct flight between Bali and Wuhan !!! https://t.co/kuqWbYCU4n,,,1,,,,1,,,
1220399021841436672,"Growing incidence of the #WuhanVirus has caused authorities to put #Wuhan (population 11 million) and #Huanggang (7 million) on #lockdown. 

#CoronavirusOutbreak #WuhanOutbreak #WuhanLockDown #wuhanquarantine 

https://t.co/GmzslwJgq7",,,1,,,,1,,,
1220400298524598273,"VIDEO OF ANOTHER PERSON (#4) collapsing in #wuhan hospital due to the #Coronavirus 

#WuhanSARS #WuhanOutbreak #ChinaziVirus https://t.co/W93LunVMnw",,,1,,,,1,,,
1220401183392702465,"#coronovirus #Corona #China 

A total of 17 people have died, all of them in and around #Wuhan. Their average age was 73, with the oldest 89 &amp; the youngest 48.

Local authorities in Wuhan have demanded all residents wear masks in public places. 

#WuhanOutbreak #WuhanSARS https://t.co/nQaEXkG2Dn",,,1,,,,1,,,
1220403603560525824,"As hospitals in #Wuhan are overcrowded, reagents are running out of stock while some suspected #ChinesePneumonia patients were turned down and told to isolate themselves at home or search for vacancies in other hospitals.

Source: Cable News China Desk https://t.co/BkZtjWvUjl https://t.co/sCCMp9KM77",,,1,,,,1,,,
1220403904828956673,"Anyone else dig out a copy of this ""old"" movie after hearing about the new Chinese ccoronavirus?  #ChinesePneumonia #pandemic #WuhanCoronavirus    https://t.co/gM1hsoesD5",,,,,1,questions,1,,,
1220403923456004103,"How concerned are you about #CoronavirusOutbreak?

#Wuhan #Huanggang #WuhanOutbreak #WuhanLockDown #wuhanquarantine 

https://t.co/GmzslwJgq7",,,,,1,questions,1,,,
1220406686327832576,"This is why #WuhanCoronavirus go virus. Are you sure you want to meet the people come from this place (#China )? 
A place with no human right, no health and hygiene protection.
#BoycottChina 
#China_is_terrorist 
#antichinazi https://t.co/payuXYnoUj",1,,,,,,1,,,
1220406983121100800,"@disclosetv 18 Deaths 653 cases

AND 20,000,000 people quarantined??? WTF - are the Chinese serious?

#WuhanOutbreak #WuhanSARS #China #WuhanLockDown 
https://t.co/c4zqyVbGtg",,,1,,,,1,,,
1220408602848088065,"@WOODHEAP @Ohsnapitsmej @ML03509599 @BBCWorld @CNN @shujamtaro @SolomonYue @HawleyMO @BorisJohnson @lukedepulford @DanGarrett97 @SenRickScott @swsjoerdsma @aaronMCN @tommycheungsy Mr.There is a reason why pneumonia in Wuhan, China, can spread so fast. They eat no matter what kind of animals, they are raised, they are wild, they have not been tested, and they eat like this.  Too fucking scar #chinazi  #WuhanPneumonia https://t.co/f4jah17cPj",1,,,,,,1,,,
1220412199409242112,- It is to early for A Public Health Emergency of International Concern #PHEIC #WHO #coronavirus #Wuhan #WuhanOutbreak #svtnyheter,,,,,1,opinion,1,,,
1220412453382754305,"2-
The people of #Wuhan are literally dropping like flies all over the city.

Like something out of a horror movie.

#WuFlu #WuhanPneumonia https://t.co/ujdxi79t7c",,,1,,,,1,,,
1220418301261746176,"@IndoPac_Info World order must change, also include WTO, world bank and many about corruption of Chinese sinicization . 

Trade more.

#coronovirus 
#WuhanCoronavirus 
#ChinaLies #chinazi 
#China_es_terrorista 
#Wuhan 
#ChinesePneumonia 
#WuhanPneumonia 
#china_is_terroist",,,1,,,,1,,,
1220423481147502592,"@Scholars_Stage Before #WuhanLockDown, #Wuhan have some people go away from Wuhan.

Must close pay attention the Chinese fly your Country.

#WuhanCoronavirus #ChinesePneumonia 
#coronovirus 
#ChinaLies #WHO #SARS2 
#Taiwan #HongKong #China 
@smh @FoxNews @Yomiuri_Online",,,1,,,,1,,,
1220426294694989824,"#CORONAVIRUS- Watch Hospital in #WUHAN crowded for 3rd consecutive night.  

#ChinaPneumonia #WuhanCoronavirus #WuhanSARS #china #ChinaziVirus https://t.co/ohBqqgnpVn",,,1,,,,1,,,
1220427305975197696,"Washington man is 1st in the US to catch a new virus from China. #VirusChina #ThursdayThoughts #CDC
https://t.co/eOeOT3mGW7",,,1,,,,1,,,
1220436172662562817,"@MailOnline Thanks your report, we're lied been chinese.

#ChinaLies #Wuhan #coronovirus #WuhanPneumonia #BoycottMulan #SARS2 #WTO #WHO #ChinesePneumonia",1,,,,,,1,,,
1220440699499438089,"NEW VIDEO: What YOU need to know about the Wuhan Virus #medical #wuhanvirus https://t.co/tRi3fio23g
#internalmedicine
#familymedicine
#medlife
#medstudent
#gastroenterologyhospital
#gastroenterologylife
#gastroenterologyunit
#medstudentlife
#medicalblogger
@KarinMcCay11",,,,,1,video,1,,,
1220442117006397441,"These are the video's #China doesn't wan you to see! 
Please RT and inform the world of the danger heading our way! #china #Wuhan #WuhanSARS #wuhanquarantine #CoronavirusOutbreak https://t.co/Wps4NBe3u4",,,,,1,video,1,,,
1220442358782799874,"👀These are the video's #China doesn't wan you to see! 
Please RT and inform the world of the danger heading our way! #china #Wuhan  #wuhanquarantine #CoronavirusOutbreak https://t.co/wmuOdUxFRy",,,,,1,video,1,,,
1220442678846021639,"🚨 👀These are the video's #China doesn't wan you to see! 
Please RT and inform the world of the danger heading our way! #china #Wuhan  #wuhanquarantine #CoronavirusOutbreak https://t.co/Vo4WhNrju0",,,,,1,video,1,,,
1220442789495955463,"🚨 👀These are the video's #China doesn't wan you to see! 
Please RT and inform the world of the danger heading our way! #china #Wuhan  #wuhanquarantine #CoronavirusOutbreak https://t.co/lkOKEa0cLH",,,,,1,video,1,,,
1220442993200717839,"🚨 👀👇These are the video's #China doesn't wan you to see! 
Please RT and inform the world of the danger heading our way! #china #Wuhan  #wuhanquarantine #CoronavirusOutbreak https://t.co/lSDhcbMjmt",,,,,1,video,1,,,
1220446680715354123,"Update: #Coronavirus Is Spreading ! 5 People in #Scotland Tested For #China Virus, 2 Being Treated Just In Case ! #SARS #ChinesePneumonia #Flu #Trump2020 #MAGA #KAG #CDC #IllegalAliens Are Not Tested !    https://t.co/1heyg2t0FA via @YouTube",,,1,,,,1,,,
1220452024174641153,"“Instead, the children will tour the DC area &amp; take in other cultural sites”
What could go wrong, @WHO ?🤦‍♀️
Maybe they could go watch the #ImpeachmentHearings 🤷🏼‍♀️
#Wuhan #Coronavirus #WuFlu https://t.co/1nhiNaHX6Z",,,,,1,opinion,1,,,
1220454872312700949,"All the citizens of china and the world stay safe... It is not a secret that this kind of #Virues are made knowingly and purposefully to reduce the humans beings 

#ChinaCoronaVirus #China_is_terrorist #china #VirusCorona #epidemic #ChinaziVirus https://t.co/pdiRYagOxJ",,,,,1,opinion,1,,,
1220468862447124480,"Did one of these escape from the BSL-4 bio lab in Wuhan? Is this why the Chinese are taking such Draconian steps of quarantining MILLIONS?

Is this a global FALSE FLAG event?

https://t.co/WhIq7Kjd1a

#maga #wwg1wga #Wuhan #WuFlu #WuhanOutbreak #wuhanpnemonia #qanon #wuhanvirus",,,,,1,questions,1,,,
1220472972495880192,"This simple trick is the best way of protecting yourself against the #wuhanvirus ... and wear a mask 😷😷😷

https://t.co/GVA8ttv2H9",,,1,,,,1,,,
1220473266290249730,#WuhanOutbreak Prayers and blessings to the people of Wuhan! #MuchLove,,,,,1,opinion,1,,,
1220476559888453632,#who #coronoavirus #VirusChina #WuhanOutbreak #WuFlu  a person inside Wuhan got on a vpn... and reported that by their count the number of sick was more like 5000! We are not being told the truth and I believe that the who knows! This very well could become Pandemic https://t.co/de2loWq3Nq,,,1,,,,1,,,
1220476731242569731,"For those of you keeping up with with the #WuhanOutbreak of the #coronoavirus, it's worth noting that https://t.co/G9sW1nNieq Evolved is currently on sale in the Steam Store too.

Simulate the end of the world with me. 

#Wuhan #wuhanquarantine #Plague2020 #PlagueInc https://t.co/yr7HkvP4YC",,,,,1,opinion (ad),1,,,
1220477681055227910,"So, the Wuhan novel coronavirus has turned up in East Texas at College Station. Isn't this how Stephen King's book, ""The Stand"" starts out? #WuhanCoronavirus #WuhanOutbreak #wuhantexas",,,1,,,,1,,,
1220486869584171008,"Meanwhile, N95 masks are sold out, so this gentleman has to his wife’s underwear for protection in #Wuhan 

#coronavirus #China #nCoV2019 #CoronavirusOutbreak #Pandemie
- - #WuhanOutbreak 

https://t.co/wp477AUBWV",,,,,1,opinion,1,,,
1220488821525172224,"This photo shows the flight schedule from #Wuhan city spreading #WuhanSARS , all the flights cancelled except #Urumchi city, the capital of #East_Turkistan, I strongly doubt about #CCP planning to spread the #VirusChina to #Uyghurs. @arslan_hidayat @Uighurian @KuzzatAltay https://t.co/BzHCHXXTQ8",,,1,,,,1,,,
