1270445606490771464,#Uyghur #UyghurHolocaust #uyghurpulse #Uyghurlivesmatters #uygur #Uighur #Dogutuerkistandazuluemvar #DoğuTuerkistanYalnızDeğildir #doğutürkistan #uygurlarabayramyok #uyghurgenocide #EastTurkistan #China_is_terrorist #ChinaVirus #Cami BÖLE İYİ Mİ? https://t.co/FieNPa1VCA,Uyghur UyghurHolocaust uyghurpulse Uyghurlivesmatters uygur Uighur Dogutuerkistandazuluemvar DoğuTuerkistanYalnızDeğildir doğutürkistan uygurlarabayramyok uyghurgenocide EastTurkistan China_is_terrorist ChinaVirus Cami,tr,Tue Jun 09 20:00:10 +0000 2020,120179981,tatarislamtürkü,,,,başkent
1270458223024365571,"@JoeBiden It was a pandemic.  #ChinaLiedPeopleDied 
China holds the blame for the virus.
Dr Fauci and Dr Birx gave the ""expert"" advice.
Governors were the ones that shut businesses down putting people out of work.
Except ND. They did not shut down.",ChinaLiedPeopleDied,en,Tue Jun 09 20:50:18 +0000 2020,15730096,dorothy1961👠,,,,TN
1270458234399318017,"@Israel @IsraeliPM @IsraelMFA @israelpolice @IDF @netanyahu 
This map is interesting. 
#China 
#ChineseVirus 
#ChinaLiedPeopleDied https://t.co/YpSmgk6iGH",China ChineseVirus ChinaLiedPeopleDied,en,Tue Jun 09 20:50:21 +0000 2020,1071721502360461314,Soumil Himalayan Singh Panwar,,,,"Uttaranchal, India"
1270458545285234690,"Ospedali pieni a #Wuhan già a ottobre. Parole sui motori di ricerca più utilizzate: tosse, febbre, diarrea.
#ChinaLiedPeopleDied

#ASINTOMATICI #COVID__19

https://t.co/vEeAUhuppj",Wuhan ChinaLiedPeopleDied ASINTOMATICI COVID__19,it,Tue Jun 09 20:51:35 +0000 2020,441227606,David Mazzerelli,,,,Venezia
1270459400331747329,"@MarshaBlackburn @Twitter Yes I replied to a China so called Coronavirus article to point out how false it was yesterday, oh man did I get an angry response from a China acct I believe, After I hash tagged #ChinaLiedAndPeopleDied",ChinaLiedAndPeopleDied,en,Tue Jun 09 20:54:59 +0000 2020,139172366,Vivienne C,,,,"Arizona, USA"
1270459837177094145,"@EmmanuelMacron @French_Gov 
#China 
#ChineseVirus 
#ChinaLiedAndPeopleDied 
#ChinaVirus 
This map is interesting. https://t.co/oPK1NiR8LM",China ChineseVirus ChinaLiedAndPeopleDied ChinaVirus,en,Tue Jun 09 20:56:43 +0000 2020,1071721502360461314,Soumil Himalayan Singh Panwar,,,,"Uttaranchal, India"
1270460131948367873,"#Wuhan #WuhanLab #CCP | #Vigilance | #Bioweapons #Biowarfare | #Transparency 

Andrew Bolt (#BoltReport, 09-Jun):

More evidence ‘raises further questions of CCP’s deadly Wuhan Virus coverup’

https://t.co/Gwlz43BigR",Wuhan WuhanLab CCP Vigilance Bioweapons Biowarfare Transparency BoltReport,en,Tue Jun 09 20:57:54 +0000 2020,441251850,OverTheMoonbat⭐️⭐️⭐️,,,,"Free Flynn, Stone, & Assange"
1270475924010606593,"@TheFive #ChinaVirus was another HOAX to try to destroy @realDonaldTrump our @POTUS. Shitty so many small business have been destroyed because #ChinaLiedAndPeopleDied. Never another lockdown, patriotic Americans will not Comply.",ChinaVirus ChinaLiedAndPeopleDied,en,Tue Jun 09 22:00:39 +0000 2020,2837322086,Roger Barnhart,,,,"Odessa,Texas"
1270476141250445314,"Sadly, Ive known it to be true along, but here again everyone is more proof that #ChinaLiedPeopleDie #ChinaLiedAndPeopleDied:
https://t.co/4ukLN7W5sP
#dailybriefings #COVID19 #Covid_19 #ChinaLiedAmericansDied",ChinaLiedPeopleDie ChinaLiedAndPeopleDied dailybriefings COVID19 Covid_19 ChinaLiedAmericansDied,en,Tue Jun 09 22:01:31 +0000 2020,1242291795641266176,Nm Covid-19 - - Dab,-112.1246767,33.552862600000005,"Phoenix, AZ, United States","Santa Fe, NM"
1270476480162627584,#ChinaLiedPeopleDie https://t.co/yxSnt8Yow0,ChinaLiedPeopleDie,und,Tue Jun 09 22:02:51 +0000 2020,1066896556941557760,Kevin,,,,"Berkeley, CA"
1270476657141452801,@SamuelsClem #KungFlu didn't make me wanna break the bank on shitwipe #WuFlu https://t.co/aeBWt2QqSJ,KungFlu WuFlu,en,Tue Jun 09 22:03:34 +0000 2020,2563872312,Ricci D'Ercole,,,,Your Backdoor 
1270477030577094658,"The city of #Mudanjiang in northeastern #China announced the results of its general #CCPVirus testing on June 8 and claimed that it only found 19 asymptomatic carriers out of a #Testing sample of 658,772 people. https://t.co/zvXaFh0EWn",Mudanjiang China CCPVirus Testing,en,Tue Jun 09 22:05:03 +0000 2020,302152200,The Epoch Times - China Insider,,,,"New York, NY"
1270477051477229568,"#FullOnPropaganda THIS IS NOT AI. #MovieProp

Are you a green square or a red one? AI detects those defying social distancing
by #RT - Apr 30, 2020

0:41

VID https://t.co/8HvDopZVUF

#CoronaVirus #WuhanVirus #COVID19 #CCPVirus

qt-covid19-vids-189 by #BorderObserver https://t.co/9mMtHPsEYc",FullOnPropaganda MovieProp RT CoronaVirus WuhanVirus COVID19 CCPVirus BorderObserver,en,Tue Jun 09 22:05:08 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1270477054878855169,"@AmbLiuXiaoMing ....apart you've killed 40,000+ Brits, damaged the economy, denied #kids months if #school and put 1000s out of work! 

#ChineseVirus #ChinaLiedPeopleDied",kids school ChineseVirus ChinaLiedPeopleDied,en,Tue Jun 09 22:05:08 +0000 2020,64680319,BritainafterBrex,,,,Below you
1270477126223958016,RT @EpochTimesChina: The city of #Mudanjiang in northeastern #China announced the results of its general #CCPVirus testing on June 8 and cl…,Mudanjiang China CCPVirus,en,Tue Jun 09 22:05:25 +0000 2020,29097819,The Epoch Times,,,,"New York, USA"
1270477508056678400,"#NATO Chief Urges Allies to Work Together to Defend Against #China Threat 
#CCPVirus #SayNoToCCP #RejectCCP #COVIDー19 
https://t.co/DtNaryucLG via @epochtimes",NATO China CCPVirus SayNoToCCP RejectCCP COVIDー19,en,Tue Jun 09 22:06:56 +0000 2020,1247823337155371011,Why China?,,,,Paris
1270477607931465728,RT @EpochTimesChina: The city of #Mudanjiang in northeastern #China announced the results of its general #CCPVirus testing on June 8 and cl…,Mudanjiang China CCPVirus,en,Tue Jun 09 22:07:20 +0000 2020,1247823337155371011,Why China?,,,,Paris
1270478728271781888,RT @EpochTimesChina: The city of #Mudanjiang in northeastern #China announced the results of its general #CCPVirus testing on June 8 and cl…,Mudanjiang China CCPVirus,en,Tue Jun 09 22:11:47 +0000 2020,32785658,Miz Dazy Save Our Republic Now❌,,,,COLO
1270479497394106368,RT @EpochTimesChina: The city of #Mudanjiang in northeastern #China announced the results of its general #CCPVirus testing on June 8 and cl…,Mudanjiang China CCPVirus,en,Tue Jun 09 22:14:51 +0000 2020,2237788747,Sⁱᵈᵉ Eᶠᶠᵉᶜᵗˢ (Parler: RareButSerious),,,,"Chicago, IL"
1270479857110134787,"Ron Paul makes a compelling argument for keeping medicine and state regulation very far apart.

When ""#health"" becomes license to regulate, oppression and corruption are the inevitable result. The #CCPVirus has proven that beyond any and all doubt.

https://t.co/GcEMMyWtc0

#news",health CCPVirus news,en,Tue Jun 09 22:16:16 +0000 2020,2894982337,Peter Nayland Kust,,,,"Cypress, Texas"
1270480435357892610,Really is a case of #ChinaLiedPeopleDied https://t.co/QXsRRNHuAh,ChinaLiedPeopleDied,en,Tue Jun 09 22:18:34 +0000 2020,3192197441,MarkInNorthWest,,,,"Manchester, England"
1270480780360404999,"#ChinaLiedPeopleDie #ChinaLiedAndPeopleDied #ChinaVirus 
#DemocratsTheEnemyWithin #DemocratsAreEnemiesOfAmerica #SorosEnemyofthepeople #SorosFundedRiots #FakeNewsMedia #VoteRedToSaveAmerica https://t.co/KJcxhKMqwJ",ChinaLiedPeopleDie ChinaLiedAndPeopleDied ChinaVirus DemocratsTheEnemyWithin DemocratsAreEnemiesOfAmerica SorosEnemyofthepeople SorosFundedRiots FakeNewsMedia VoteRedToSaveAmerica,und,Tue Jun 09 22:19:57 +0000 2020,156930332,Truth Unsilent,,,,Texas
1270481149299535872,"@SabirNaumanAsl1 @RajeevChhipa @HuXijin_GT #Chineseslaves in #ChineseColonyPak r very happy because they r supplying their sisters, daughters 2 Chinese brothel
Time 2 remember
China-India face-off in 1967
Humiliating defeat in Vietnam
Thinanman https://t.co/tGL9zGOwuh 
#WorldAgainstChina
#ChineseVirus
#ChinaLiedPeopleDied https://t.co/JSkbRjC9W5",Chineseslaves ChineseColonyPak WorldAgainstChina ChineseVirus ChinaLiedPeopleDied,en,Tue Jun 09 22:21:25 +0000 2020,1289431818,Prakash Nath Gupta,,,, BHARAT
1270483497547960322,"https://t.co/0RbGqfh9ff
#ChinaLiedPeopleDied ☠️☠️",ChinaLiedPeopleDied,und,Tue Jun 09 22:30:44 +0000 2020,756127911242043392,GiangNam,,,,United States
1270484309716148226,"EU will keep engaging with an autocratic power that violates human rights, like building concentration camps which imprison millions of Uyghurs.
Especially when the lack of freedom in China is one of the main reasons why the #wuhanvirus #CoronaVirus spread worldwide 

Smart move! https://t.co/Gwb2KRmHcX",wuhanvirus CoronaVirus,en,Tue Jun 09 22:33:58 +0000 2020,1168953414421757952,Germany Stands With Hong Kong,,,,"Berlin, Germany"
1270484588872245249,"Missouri Walmart #Coronavirus Licker Charged With 'Terrorist Threat'
https://t.co/k9CXKmm2q2
24 Mar 2020

#QUOTE .. in a video he later posted to social media. 

#WuhanVirus #COVID19 #CCPVirus

qt-covid19-news-147 by #BorderObserver",Coronavirus QUOTE WuhanVirus COVID19 CCPVirus BorderObserver,en,Tue Jun 09 22:35:05 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1270485621409185793,RT @Michael72497902: #CCP_is_terrorist #CCPChinaJudgmentDay #CCPLiedPeopleDied,CCP_is_terrorist CCPChinaJudgmentDay CCPLiedPeopleDied,und,Tue Jun 09 22:39:11 +0000 2020,1010542446965641216,Victoria Valentini 2ndaccount,,,,"513 Crescent Ave 
Avalon, CA 9"
1270486588846419971,"86% of Americans believe mass #protests carry a huge #CCPVirus risk.

It does not stop them from going out looting, burning, rioting, and occasionally protesting.

Either the poll is BS or people are really into rioting.

https://t.co/KYPpqluN9A

#news #thisisnotaboutfloyd #riots",protests CCPVirus news thisisnotaboutfloyd riots,en,Tue Jun 09 22:43:01 +0000 2020,2894982337,Peter Nayland Kust,,,,"Cypress, Texas"
1270486711383085057,"😂😂😂
#CCPVirus
#COVID19 
#Riots2020
#LiberalHypocrisy https://t.co/H3GcxvwZYC",CCPVirus COVID19 Riots2020 LiberalHypocrisy,und,Tue Jun 09 22:43:31 +0000 2020,3811539856,Mary4Truth&Justice 🇺🇸,,,,Illinois USA
1270489524834107399,"RT @WarRoomPandemic: Bannon: George Floyd had the #CCPVirus

He had traces of fentanyl in his system, which #China is forcing into US throu…",CCPVirus China,en,Tue Jun 09 22:54:41 +0000 2020,784059976083972096,Adam Lis,,,,"Manchester, England"
1270489679712759809,"@globaltimesnews Cover up of #Chinavirus #bioweapon, IP theft, #Uyghurs  and #Huawei #ccp spying for starters... Gongfei cvnts https://t.co/g4p3zNGMxR",Chinavirus bioweapon Uyghurs Huawei ccp,en,Tue Jun 09 22:55:18 +0000 2020,1242350721464336387,Gordon Liddy🔞🧨🍸🇦🇺,,,,"Palm Beach, Sydney"
1270490288830767105,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 22:57:44 +0000 2020,2300872760,A. Gunn,,,,United States of America
1270401225310310400,RT @PeterNavarro45: China virus hits the two key pillars of American cities -- high rise building density and mass transit.  #ChinaLiedPeop…,,en,Tue Jun 09 17:03:49 +0000 2020,786005781837651968,magamama,,,,United States
1270401674062909441,"@johnbrownstein unlike #wuhan hospitals parking lots, please focus on satellite images from #hubei cemeteries/burial grounds for more information. Chinese is still lying...
And thanks for your brilliant study
#ChinaLiedPeopleDied",wuhan hubei ChinaLiedPeopleDied,en,Tue Jun 09 17:05:36 +0000 2020,122314165,Siddharth Malik,,,,"Uttar Pradesh, India"
1270401696666173445,"RT @Skywalkerlu1: Why ? Why ? Why ? 
#Propaganda obscene tactic of #CCPChina #Dems  #Deepstate stopping Americans against #CCPVirus 

You f…",Propaganda CCPChina Dems Deepstate CCPVirus,en,Tue Jun 09 17:05:42 +0000 2020,2590573022,Gypsy Smiles 🇺🇸🇮🇱🇬🇧🏴‍☠️ #MAGA,,,,USA
1270403054135676930,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 17:11:05 +0000 2020,1173726663269441536,k,,,,Australia
1270403792455045122,"#Salvini:After the historic trial of German #Nazis,given continuous &amp; confirmed news, it will be necessary establish not only a commission of inquiry, but perhaps also a second #Nuremberg to ascertain &amp; punish any faults of #China #communist regime for massacre. #Wuhan #CCPVirus https://t.co/Kfy6aCcwhS",Salvini Nazis Nuremberg China communist Wuhan CCPVirus,en,Tue Jun 09 17:14:01 +0000 2020,576128417,Max Ferrari,,,,"Varese, Lombardia"
1270404845934010368,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 17:18:12 +0000 2020,1168546291825012737,rhjdiei7552,,,,United States
1270405055418515457,"Chinese Propaganda Outlet Paid Millions to Washington Post, Wall Street Journal https://t.co/foU2W7iEOR

#ChinaIsOurEnemy
#ChinaLiedPeopleDied
 
Download The Epoch Times app to see our exclusive CCP virus coverage and daily updates:https://t.co/nMM4UpM9wm",ChinaIsOurEnemy ChinaLiedPeopleDied,en,Tue Jun 09 17:19:02 +0000 2020,1488828434,America: Born 1776; Died 2020,,,,United States
1270405211975081984,#ChinaLiedPeopleDied Satellite ne pakda China Ka jhuth.Nov.2019 mein hi #Wuhan ke hospitals mein hazaaron gadiyan Delhi gai.vahan #Covid_19 ke case aane lage jisse China ne Duniya se chhupaya.China #America n #Europe ko #Covid_19  ki vaccine banane se kyon ROK Raha hai? @ZeeNews,ChinaLiedPeopleDied Wuhan Covid_19 America Europe Covid_19,hi,Tue Jun 09 17:19:40 +0000 2020,1087382769326379009,सुभाष धवन,,,,Goa
1270405403596161027,"If it turns out that China engineered #COVID19 to wipe out Black people, will @YorkshireTea #BoycottChina? Or will it be business as usual?",COVID19 BoycottChina,en,Tue Jun 09 17:20:25 +0000 2020,1668691658,Mark Anthony Taylor,,,,"Staffordshire, UK"
1270406766010880000,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 17:25:50 +0000 2020,1118967362525564928,₱ØⱠł₮ł₵₳ⱠⱠɎ ł₦₵ØⱤⱤɆ₵₮ JØ₭ɆⱤ 🃏Text TRUMP 88022,,,,"Huntington Beach, CA"
1270407223831867392,"|| घर रहिए कि बाहर है इक रक़्स बलाओं का,
इस मौसम-ए-वहशत में नादान निकलते हैं ||
#StayHome #StaySafe #ChinaVirus
#ChinaLiedAndPeopleDied #BycotMadeInChina https://t.co/KW4vnhTHwj",StayHome StaySafe ChinaVirus ChinaLiedAndPeopleDied BycotMadeInChina,hi,Tue Jun 09 17:27:39 +0000 2020,436848873,Jiwan Deep Sharma,,,,India
1270407399933792256,"@anjanaomkashyap @sambitswaraj Bhartiya economy = (gutaka, tabacoo bechne walo ne hospital khool liye hai..) connect kr skka toh corona se kr looo
#wuhanvirus
#china
#Bharat
#NaMo",wuhanvirus china Bharat NaMo,tl,Tue Jun 09 17:28:21 +0000 2020,1100314020962156545,Illuminati_1803,,,,"Kalyani, India"
1270408268817391618,#BoycottChineseProduct #BoycottChina #MadeInIndia #चल_हट_ड्रैगन #Chinese #BoycottChineseApp #AatmaNirbharBharatAbhiyan #AatmNirbharBharat #Haryana #laddakh #coronavirus #CoronaCrisis #Amul #AmulIndia https://t.co/Ac24bLKr6r,BoycottChineseProduct BoycottChina MadeInIndia चल_हट_ड्रैगन Chinese BoycottChineseApp AatmaNirbharBharatAbhiyan AatmNirbharBharat Haryana laddakh coronavirus CoronaCrisis Amul AmulIndia,und,Tue Jun 09 17:31:48 +0000 2020,336451309,Manoj Pathak,,,,"Haryana, India"
1270409376302534659,#ChinaLiedPeopleDied #Covid19 COVID-19: New study shows that virus may have started earlier than first thought #Coronavirus https://t.co/UxDwJFeqZZ,ChinaLiedPeopleDied Covid19 Coronavirus,en,Tue Jun 09 17:36:13 +0000 2020,1292323981,Rosalinda Torres Ross,,,,"WashXing, Bucks County,PA,USA"
1270410163644698631,"It’s them again
#Vegans #Vegan #hongkongprotest #hongkong #stopchina #stopchinasdogslaughter #chinasucks #chinavirus #chinalab #chinaliedpeopledied #chinalied #freehongkong #lovehongkong https://t.co/flWsLVFAM7 https://t.co/ikxXsiPSA1",Vegans Vegan hongkongprotest hongkong stopchina stopchinasdogslaughter chinasucks chinavirus chinalab chinaliedpeopledied chinalied freehongkong lovehongkong,en,Tue Jun 09 17:39:20 +0000 2020,1155149071428083712,vganpicks,,,,St Albans UK
1270411272706756609,"Harvard Research Shows Coronavirus May Have Spread In Wuhan in August: Report... 
Read on JioNews https://t.co/ErUxNdUW3K

#CPPvirus #ChinaLiedAndPeopleDied 
#ChinaLiedPeopleDied 
@BBCWorld
@globaltimesnews
@RT_com
#FreeTibet 
#FreeHongKong 
#TaiwanIsNotChina 
#StandWithHongKong",CPPvirus ChinaLiedAndPeopleDied ChinaLiedPeopleDied FreeTibet FreeHongKong TaiwanIsNotChina StandWithHongKong,en,Tue Jun 09 17:43:45 +0000 2020,1249257634798026752,Expp,,,,"Blue Earth, MN"
1270411997566439424,@DrTedros Go.....F #TedrosResign #TedrosLiedPeopleDied #ChinaLiedAndPeopleDied #CCPVirus,TedrosResign TedrosLiedPeopleDied ChinaLiedAndPeopleDied CCPVirus,und,Tue Jun 09 17:46:37 +0000 2020,158790886,Alok Singh,,,,"Thailand, Roanapur"
1270412691434344450,@DrTedros You sold us! #ChinaLiedAndPeopleDied #TedrosLiedPeopleDied,ChinaLiedAndPeopleDied TedrosLiedPeopleDied,en,Tue Jun 09 17:49:23 +0000 2020,158790886,Alok Singh,,,,"Thailand, Roanapur"
1270413225625104384,@DrTedros @UNCERF @UNReliefChief You sold us. #ChinaLiedAndPeopleDied #TedrosResign #TedrosLiedPeopleDied #CCPVirus,ChinaLiedAndPeopleDied TedrosResign TedrosLiedPeopleDied CCPVirus,en,Tue Jun 09 17:51:30 +0000 2020,158790886,Alok Singh,,,,"Thailand, Roanapur"
1270413401936797705,"Italy's Lombardy region 🇮🇹 Thanks to Salvini's pro USA anti CCP anti EU conservative Lega party, Lombardy's claim for damages to CCP for the #CCPVirus pandemic begins legally 👏 @shujamtaro @hiro_hamakawa https://t.co/MtQWHeTSls",CCPVirus,en,Tue Jun 09 17:52:12 +0000 2020,555300363,PonytaEle🌸🇮🇹❤🇺🇸🇯🇵🇹🇼🇭🇰,,,,Italia
1270414913035399168,"@ChuckRossDC #Chinazi put most ppl's money in their own pockets n to buy, bribe around the🌍 to remain it's influence, ignorg majority r living in poverty. 900mils of their ppl w/ income &lt;USD280/M n 2/3 of the make &lt;USD140/M.
Not any aid to ppl over #CCPVirus pandemic!
https://t.co/bEpWD8kOnl",Chinazi CCPVirus,en,Tue Jun 09 17:58:13 +0000 2020,1162084146761490432,Q,,,,HOMES🌈 I'm sooooo proud of 💛
1270415123681701888,"#CoronaVirus
#CarrieLam
#ChinaCoronaVirus
#Corona
#WuhanCoronavirus
#coronaviruschina
#virus
#WuhanOutbreak 
#WuhanPneumonia 
#武汉市 #武汉起义 #武汉肺炎 #武汉加油 #汉口河滩
#Wuhan #NakuLa #Doklam  #CoronaVirusOutbreak   #LiWenliang #outbreak #COVID19 #CCP #ChinaVirus
#usa #Hindu https://t.co/AtvoFGqKLF",CoronaVirus CarrieLam ChinaCoronaVirus Corona WuhanCoronavirus coronaviruschina virus WuhanOutbreak WuhanPneumonia 武汉市 武汉起义 武汉肺炎 武汉加油 汉口河滩 Wuhan NakuLa Doklam CoronaVirusOutbreak LiWenliang outbreak COVID19 CCP ChinaVirus usa Hindu,und,Tue Jun 09 17:59:03 +0000 2020,1257405990,Zia Ul Haq,,,,"Gujranwala, Pakistan"
