1262129658931355653,"#CCPVirus #ChinaLiedPeopleDie #Coronakrise 
KPCh-Virus (SARS-CoV2) zeigt: Vertrauen in KP-China ist gefährlich. Verbindung minimieren!

https://t.co/XTJT2q76jv https://t.co/sc3k90Zgnu",CCPVirus ChinaLiedPeopleDie Coronakrise,de,Sun May 17 21:15:34 +0000 2020,3909867868,Erik Rusch,,,,Berlin
1262141763684188160,Why Have Nursing Homes Been Hit So Hard By The Coronavirus? #CCPVirus https://t.co/mbck4g5IBV https://t.co/RnLfRTOD5f,CCPVirus,en,Sun May 17 22:03:40 +0000 2020,2755986901,eFree News,,,,"New York, USA"
1262141806424121344,RT @y_yayya: China is publishing fake research paper on a study on virus. This again puts people’ lives at risk of dying. #ChinaLiedPeopleD…,,en,Sun May 17 22:03:50 +0000 2020,1141511002057404416,JBcavite,,,,🇺🇸🇵🇭LA/Cavite
1262146671984742402,"RT @Rajeskotian: How racist is china ? #Covid_19 shocking truth of #RacismInChina 
#ChineseVirus 
#ChinaLiedAndPeopleDied https://t.co/Ww7B…",Covid_19 RacismInChina ChineseVirus ChinaLiedAndPeopleDied,en,Sun May 17 22:23:10 +0000 2020,1260221836182372354,🇳🇬,,,,United Kingdom
1262152786747305985,"#ChinaLiedPeopleDied #ChinaVirus #WHOLiedPeopleDied Is Schumer taking China’s side because he detests President Trump so much? Does he have something to hide when it comes to China? 🤔 Schumer: Trump is ""Picking On"" China and the WHO https://t.co/Y8DCfDem0J via @100percFEDUP",ChinaLiedPeopleDied ChinaVirus WHOLiedPeopleDied,en,Sun May 17 22:47:28 +0000 2020,953665840351776768,1KEKSTER ⭐️⭐️⭐️B/U@1KEK6,,,,#USNS 🇺🇸🇺🇸🇺🇸 #GodWins
1262095891063685120,"THOUSANDS Flood Beaches in Defiance Of Lockdown, The people Have Spoken, Lockdown Has BROKEN https://t.co/uJU3Yh9SYL via @timcast. ""Nobody cares about what you want because you hate Trump."" It's okay to #WalkAway from TDS &amp; #LegacyMedia. #CCPVirus",WalkAway LegacyMedia CCPVirus,en,Sun May 17 19:01:23 +0000 2020,18118720,KEN the GATCHAMAN,,,,"Azusa, CA"
1262096231037382659,"जानिए कैसे बनेगा भारत आत्मनिर्भर। 
https://t.co/phHdytdt64

Follow- @indorilogy on instagram ✌️
#पीएममोदी #pmnarendramodi #modiji #covid19 #selfdependent #pmmodi #corona #coronaindia #covid19india #atmanirbharbharat #atmanirbhar #INDIA #fightagainstcoronavirus✌️ #indorilogy",पीएममोदी pmnarendramodi modiji covid19 selfdependent pmmodi corona coronaindia covid19india atmanirbharbharat atmanirbhar INDIA fightagainstcoronavirus indorilogy,hi,Sun May 17 19:02:44 +0000 2020,2296399670,kratika vijay,,,,India
1262096448977620992,"If you want to take any #COVID19 #CCPVirus vaccine that the Gates Foundation (currently funding research in  eight vaccines), tests and deems safe. Know that their track record isn't good. https://t.co/vExDn9EOhb",COVID19 CCPVirus,en,Sun May 17 19:03:36 +0000 2020,1222011153930473472,TBT,,,,Midwest 
1262096675872669697,"@DrTedros This Chinese boot licker says us to focus.
Fucker.
#ChineseVirus19
#ChinaLiedPeopleDied
#ChineseWuhanVirus
#ChineseVirusCorona
#ChinaLiedAndPeopleDied
#ChineseBioterrorism
#ChinaVirus
#communisamIsaDisease
#தெள்ளவாரி_கம்யூனிஸ்ட்
#WHOLiedPeopleDied
#WHOAssholes
#TedrosMFK",ChineseVirus19 ChinaLiedPeopleDied ChineseWuhanVirus ChineseVirusCorona ChinaLiedAndPeopleDied ChineseBioterrorism ChinaVirus communisamIsaDisease தெள்ளவாரி_கம்யூனிஸ்ட் WHOLiedPeopleDied WHOAssholes TedrosMFK,en,Sun May 17 19:04:30 +0000 2020,1086941076030541824,Sutlar Khan 🌄,,,,"Dubai Bus stand, Dubai "
1262096847373512714,"Meanwhile in Milwaukee, the DNC will cancel their convention claiming #HidenBiden can't come out of the basement due to #CCPVirus, but really because they cannot afford their own convention nor do they want #DementiaJoe on full display. https://t.co/wRhrEwnxIs",HidenBiden CCPVirus DementiaJoe,en,Sun May 17 19:05:11 +0000 2020,1035187861862141952,Ryan A. Workman,,,,"Pennsylvania, USA"
1262097149824729090,"🔥 Chinese Biological Experiments With Coronavirus To Infect Humans Exposed In 2015 By Italian State Media 
#COVID19 #ChinaLiedPeopleDied  https://t.co/BZPeVJclI5",COVID19 ChinaLiedPeopleDied,en,Sun May 17 19:06:23 +0000 2020,971020804744994817,PistolWhipped,,,,Florida
1262101826972921856,#BoycottChina https://t.co/FtfRIgrN7j,BoycottChina,und,Sun May 17 19:24:58 +0000 2020,1035187861862141952,Ryan A. Workman,,,,"Pennsylvania, USA"
1262101998888841216,"RT @CIG_KingJames: America and the world must consider and declare #CCPVirus cover up as an act of terrorism!

Peter Navarro blames China f…",CCPVirus,en,Sun May 17 19:25:39 +0000 2020,570115053,❌Deplorable Smelly Hillbilly Nancy ❌,,,,@Saveusrepublic on Parler
1262107720263573506,"@LadyofMercy1 Thank you for the follow...would enjoy your feedback on my novel Currency, over 245 5 Star reviews tell the story! Great #Graduation #FathersDay #WuFlu #GiftIdea Signed copies https://t.co/TfmBae5knQ   #FREESHIPPING under lockdown!",Graduation FathersDay WuFlu GiftIdea FREESHIPPING,en,Sun May 17 19:48:23 +0000 2020,25539759,L Todd Wood,,,,NYC/DC/Europe
1262107820918333440,@AnimaSonkar But 20 years ago we had #Chinesevirus sars and now corona. 😝,Chinesevirus,en,Sun May 17 19:48:47 +0000 2020,287424178,The Loud Indian 🇮🇳,,,,भारत
1262107836420669442,"@MardieODixon Thank you for the follow...would enjoy your feedback on my novel Currency, over 245 5 Star reviews tell the story! Great #Graduation #FathersDay #WuFlu #GiftIdea Signed copies https://t.co/TfmBae5knQ   #FREESHIPPING under lockdown!",Graduation FathersDay WuFlu GiftIdea FREESHIPPING,en,Sun May 17 19:48:51 +0000 2020,25539759,L Todd Wood,,,,NYC/DC/Europe
1262107861573865475,"@Okie4T Thank you for the follow...would enjoy your feedback on my novel Currency, over 245 5 Star reviews tell the story! Great #Graduation #FathersDay #WuFlu #GiftIdea Signed copies https://t.co/TfmBae5knQ   #FREESHIPPING under lockdown!",Graduation FathersDay WuFlu GiftIdea FREESHIPPING,en,Sun May 17 19:48:57 +0000 2020,25539759,L Todd Wood,,,,NYC/DC/Europe
1262107955056517121,"@jgoforthsr Thank you for the follow...would enjoy your feedback on my novel Currency, over 245 5 Star reviews tell the story! Great #Graduation #FathersDay #WuFlu #GiftIdea Signed copies https://t.co/TfmBae5knQ   #FREESHIPPING under lockdown!",Graduation FathersDay WuFlu GiftIdea FREESHIPPING,en,Sun May 17 19:49:19 +0000 2020,25539759,L Todd Wood,,,,NYC/DC/Europe
1262108150888611841,#COVID__19 #China #Chinamustfall  #ChinaVirus #ChinaLiedAndPeopleDied https://t.co/kVyjPKWd6h,COVID__19 China Chinamustfall ChinaVirus ChinaLiedAndPeopleDied,und,Sun May 17 19:50:06 +0000 2020,2848778606,Vijay,,,,"Bengaluru, India"
1261812369749159938,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 00:14:46 +0000 2020,22426166,Justin Baker,,,,"Wisconsin, USA"
1261812964807413762,"RT @danharris: #ChinaLiedAndPeopleDied 

https://t.co/kbXxr0A00t",ChinaLiedAndPeopleDied,und,Sun May 17 00:17:08 +0000 2020,1163662917331382272,Kyle Richardson,,,,"Houston, TX"
1261813108491931652,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 00:17:43 +0000 2020,210641926,Rodrigo Espejo,,,,Chile
1261813384670072832,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 00:18:48 +0000 2020,915404092507291648,Karen Camille,,,,"Florida, USA"
1261818007912763393,"RT @danharris: #ChinaLiedAndPeopleDied 

https://t.co/kbXxr0A00t",ChinaLiedAndPeopleDied,und,Sun May 17 00:37:11 +0000 2020,1242359445062946822,The Fierce Urgency of Now,,,,"Taipei, Taiwan"
1261818476861116417,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 00:39:02 +0000 2020,898563992892850177,NoD NoD,,,,Earth
1261818606205067264,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 00:39:33 +0000 2020,41655655,TheObserver,,,,Somewhere in Time
1261818820949229568,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 00:40:25 +0000 2020,839602290705199104,Maxine Zhang,,,,"Sacramento, CA"
1261819037794869250,"#coronaviruseconomy
#Japan
#ChinaCoronaVirus 
#china
#coronavirus 
#pandemia
#chinaoutbreak 
#biohazard
#coronaoutbreak
#WHO
#Wuhan 
#USA
#UKlockdown
#coronaviruseconomy
#mishandling 
#MediaVirus https://t.co/RcR0ZxgCWQ",coronaviruseconomy Japan ChinaCoronaVirus china coronavirus pandemia chinaoutbreak biohazard coronaoutbreak WHO Wuhan USA UKlockdown coronaviruseconomy mishandling MediaVirus,und,Sun May 17 00:41:16 +0000 2020,3305521479,Ego∞∞∞∞∞∞∞∞∞∞∞,,,,Everywhere above
1261915252137930754,"@asgarhid @BollywoodGandu #ChinaLiedAndPeopleDied 

Do you really believe China has  so fewer no.s?

Recently they just corrected what they called was small mistake in no. of deaths in Wuhan alone i.e. it was reported to be 50% less than what actual no.!",ChinaLiedAndPeopleDied,en,Sun May 17 07:03:36 +0000 2020,717705919191064577,Mitr Manav,,,,"Minnesota, USA"
1261915604895830016,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 07:05:00 +0000 2020,822441084756357120,Billie N 1244 🌏Q🙏,,,,"Belgrade, Republic of Serbia"
1261920763390509056,"@DrTedros @johanna_ralston @WorldObesity @WHO Resignation, for a healthier world.
#CCPVirus 
#ChinaLiedPeopleDie 
#ChinaMustPay https://t.co/rS8s3yNzC1",CCPVirus ChinaLiedPeopleDie ChinaMustPay,en,Sun May 17 07:25:30 +0000 2020,1165778211730362368,MMCL,,,,Crazy World
1261920862975877120,There is no second wave. We haven’t flatten the curve yet. #wuhanvirus #MECQ #MassTestingNowPH,wuhanvirus MECQ MassTestingNowPH,en,Sun May 17 07:25:53 +0000 2020,139335384,leah garcia,,,,Quezon City
1261921047378616320,"外资企业正在加紧撤出中国
🇺🇸 Foreign-funded enterprises are stepping up their withdrawal from China
🇫🇷 Les entreprises à capitaux étrangers intensifient leur retrait de Chine
#中共 #CCP #中共内讧
#CCPVirus #COVID19
#中共病毒 #习近平病毒 #新冠病毒 #生化武器 #李文亮 #李泽华 🆘🦠🧬 https://t.co/KojzhDQC4u",中共 CCP 中共内讧 CCPVirus COVID19 中共病毒 习近平病毒 新冠病毒 生化武器 李文亮 李泽华,fr,Sun May 17 07:26:37 +0000 2020,234855418,韩荣利,,,,巴黎
1261921152282382339,"@Deepsleeper8 This screed, from a brutal illegitimate tyranny that since 1949 has been oppressing the Chinese people and murdering &gt;100m of them, should be viewed for what it is:

Centrally-prepared propaganda, pretending that China is NOT the sole cause of the #WuFlu.

https://t.co/wqAkj0VnLF",WuFlu,en,Sun May 17 07:27:02 +0000 2020,37674042,Tony Allwright,,,,"Dublin, Ireland"
1261921286588153856,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 07:27:34 +0000 2020,1184554425479761920,Zawdzki Pawel,,,,Plock
1261926354313977858,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 07:47:42 +0000 2020,959261020547158016,starspangledtexan,,,,"Austin, TX"
1261926378842152961,"#Taiwan is pleased to share successful expertise of defeating #Covid19 to ensure global citizens can stay healthy &amp; go back to normal life style ! #WHO surrendered to #China's threats excluding Taiwan from participating WHA will cause more #death !

#ChinaLiedPeopleDied https://t.co/krxXDg3y6a https://t.co/b3kZdEod8H",Taiwan Covid19 WHO China death ChinaLiedPeopleDied,en,Sun May 17 07:47:48 +0000 2020,1231706667303096321,Rock Lee,,,,"台北市, 台灣"
1261926514314133506,"@PMOIndia if #china or any other foreign country comes out with #vaccine for #coronavirus, should we take it or follow #BoycottChina or remain #Aatmanirbhar for indigenous vaccine?",china vaccine coronavirus BoycottChina Aatmanirbhar,en,Sun May 17 07:48:21 +0000 2020,384387863,KARTICK RASTOGI,72.9121545,20.933605,"Navsari, India, India","Jaipur,Rajasthan,INDIA"
1261926719231086592,You always backstabbed us in the name of friendship. Yiu are still doing so. You join with Pakistan to breed terrorism in Bharat. Shame on you. #BoycottChina https://t.co/XVGKclsVeL,BoycottChina,en,Sun May 17 07:49:09 +0000 2020,1108723895207628800,"हिन्दूराष्ट्र,धर्मयुद्ध,धर्मान्तरण विरुद्ध कानून",,,,"Rajahmundry, AP, Bharat"
1261926950660190208,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 07:50:05 +0000 2020,1350989725,MARY MARGARET JONES⭐️⭐️⭐️ TEXT TRUMP TO 88022,,,,United States
1261927041747701760,"@chinaorgcn Hyena-China is going down.

#MountEverest

#TaiwanIsNotChina #HongKongIsNotChina #BoycottChina #ChinaLiedAndPeopleDied #ChinaVirus #TibetIsNotChina https://t.co/6tMnVMLlS0",MountEverest TaiwanIsNotChina HongKongIsNotChina BoycottChina ChinaLiedAndPeopleDied ChinaVirus TibetIsNotChina,en,Sun May 17 07:50:26 +0000 2020,1258627964918476802,Umar Farooq,,,,"Srinagar, India"
1261886517288419334,#ChinaLiedPeopleDie #ChinaMustPay #WuhanVirus #WuhanCoronavirus  https://t.co/WIdttXEZfO,ChinaLiedPeopleDie ChinaMustPay WuhanVirus WuhanCoronavirus,und,Sun May 17 05:09:25 +0000 2020,1067859991,Les Paul,,,,Hong Kong
1261886926421782529,"@AustralianLabor @RichardMarlesMP are you morons STUPID? China is an enemy of the World. Released Covid19 on us all, treats its citizens like garbage and YOU say embrace them? Seriously you need your head examined. Aussies will #BoycottChina in huge numbers. #auspol #laborfail",BoycottChina auspol laborfail,en,Sun May 17 05:11:02 +0000 2020,857095867882491906,Alex J Hehr OAM,,,,Melbourne
1261887225890869250,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 05:12:14 +0000 2020,438343543,Bitter Truth.,,,,Global Person..
1261887243007881227,RT @Gnews202064: 中共病毒大流行EP-113 #coronavirus #CCPVirus https://t.co/Krkz187lpI,coronavirus CCPVirus,ja,Sun May 17 05:12:18 +0000 2020,1078932832049745920,Jane,,,,New Zealand
1261887255552995328,"I’ve lost count of how many countries #China has threatened after it ha released the virus last year. Apparently #CCP is trying get away with it using this “shut-up-or-I’ll-screw-you-even-harder approach”. We must not buy into this.
#ChinaMustPay #BoycottChina https://t.co/WOBzFm2y9J",China CCP ChinaMustPay BoycottChina,en,Sun May 17 05:12:21 +0000 2020,1133054380695990272,Hafa🇭🇰,,,,Hong Kong
1261887457064366085,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:13:09 +0000 2020,1260686168091492358,MCGadsden1776,,,,MAGA Country
1261892301233598464,"@XiaomiIndia @HDFC_Bank I request all to #BoycottChina #boycottchinaproducts China is funding Pakistan which in turn is working to disintegrate our country.Any Chinese item purchased means funding our enemies. China also spread #ChinaVirus 
#AatmaNirbharEconony #CKMKB #VocalForLocal_Swadeshi #Swadeshi https://t.co/8lmlvOVRc2",BoycottChina boycottchinaproducts ChinaVirus AatmaNirbharEconony CKMKB VocalForLocal_Swadeshi Swadeshi,en,Sun May 17 05:32:24 +0000 2020,3049416776,Koshur,,,,"Anantnag, Jammu And Kashmir"
1261892903581839360,"#CCPChina treasure different values from us.

#MakeChinaPay
#ChinaLiedPeopleDied https://t.co/VP1XrUBOA8",CCPChina MakeChinaPay ChinaLiedPeopleDied,en,Sun May 17 05:34:47 +0000 2020,282951837,Silky worms,,,,Hong Kong
1261893033848721411,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:35:18 +0000 2020,3433069607,counsuela2- #parler @amw6055 ⭐️⭐️⭐️,,,,United States
1261893227335966720,@China_Amb_India #ChinaMustExplain #ChinaLiedAndPeopleDied #ChinaLiedPeopleDie #CCPVirus #ChineseVirus #ChinaVirus #ChineseBioterrorism #ChinaLied #WHOLiedPeopleDied #TedrosLiedPeopleDied,ChinaMustExplain ChinaLiedAndPeopleDied ChinaLiedPeopleDie CCPVirus ChineseVirus ChinaVirus ChineseBioterrorism ChinaLied WHOLiedPeopleDied TedrosLiedPeopleDied,und,Sun May 17 05:36:04 +0000 2020,297209406,Anirudha,,,,"Bengaluru, India"
1261898033773641733,"@eugenegu @realDonaldTrump The virus came from Wuhan, China #ChinaLiedPeopleDied",ChinaLiedPeopleDied,en,Sun May 17 05:55:10 +0000 2020,2203811954,Adorable Deplorable,,,,"Gonzales, TX"
1261898483231002624,"China officially reported 84,029 cases of coronavirus, 4,673 deaths. 

Database leaked from Chinese university suggests true toll could be far higher. Table contains 640,000 entries from 230 cities.
#Chinamustfall #ChinaLiedAndPeopleDied #ChineseVirus
https://t.co/Rahocg7ggw",Chinamustfall ChinaLiedAndPeopleDied ChineseVirus,en,Sun May 17 05:56:57 +0000 2020,763330735445053440,Sidharth Gehlawat,,,,"Gurgaon, India"
1261898528936337409,"Unfuckingbelievable!
#COVID19 #freetaiwan #freetibet #Chinamustfall #ChineseVirus #DefundWHO #lastnormalphoto #BoycottChina #defaultonChina @TaiwanNews886 @TW_nextmedia  #방탄소년단 #Summer2020 #fuckChina #youtubesucks https://t.co/lNnhVp7fys",COVID19 freetaiwan freetibet Chinamustfall ChineseVirus DefundWHO lastnormalphoto BoycottChina defaultonChina 방탄소년단 Summer2020 fuckChina youtubesucks,en,Sun May 17 05:57:08 +0000 2020,1181893443997589505,Elias ASHMOLE,,,,Taiwan
1261898595713921025,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 05:57:24 +0000 2020,782387715891458048,Michael,,,,"North Carolina, USA"
1261977159574253569,@BBCWorld The world can learn so much from the Taiwanese health officials to fight #CCPVirus on how the world can co-exist with the virus in non suppressive manner. #WHO  sold their souls. China is not transparent and liberal as we all know and untrustworthy.,CCPVirus WHO,en,Sun May 17 11:09:35 +0000 2020,1249210761919860736,Biz Gurung,,,,Kathmandu Nepal
1261977717177757696,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:11:48 +0000 2020,68959592,Bernie Lewis,,,,Vermont
1261978010653097984,RT @EpochTimesChina: The @EpochTimes has compiled a timeline of the early stages of the #CCPVirus outbreak in #China and the #CCP regime’s…,CCPVirus China CCP,en,Sun May 17 11:12:58 +0000 2020,522879632,BurningLattice,,,,"Tokyo, Japan"
1261978421824860160,@Chellaney An international independent inquiry for #CoronaVirus / #CCPVirus must be done by the international community for the safety of all people in the world.,CoronaVirus CCPVirus,en,Sun May 17 11:14:36 +0000 2020,1191642954579865600,Allan Well ~ 👋👋👋98 HongKonger,,,,Hong Kong
1261982997177266176,"बाहर से किसी के आने पर निगरानी समिति को तत्काल दें सूचना #Chinavirus #Anganwadi #AnnapurnaGarg #Ballia #COVID_19

https://t.co/5eyaJJlTGE",Chinavirus Anganwadi AnnapurnaGarg Ballia COVID_19,hi,Sun May 17 11:32:47 +0000 2020,894097274590044160,Nationalwheels India News,,,,"Allahabad, India"
1261983093440811010,Latest on  #CCPVirus #ChineseVirus #CoronaVirus 😢 https://t.co/fLdCdackxD,CCPVirus ChineseVirus CoronaVirus,en,Sun May 17 11:33:10 +0000 2020,1332623515,Navin Joshi,,,,London
1261983316418260994,"@ChinaPlusNews for all of this China is responsible, your hands are stained in blood @ChinaPlusNews  @ChinaDaily  #ChinaMustPay #ChineseVirus #ChinaLiedPeopleDied",ChinaMustPay ChineseVirus ChinaLiedPeopleDied,en,Sun May 17 11:34:03 +0000 2020,72211218,Adv. Virat Joneja,,,,India
1261983799249907712,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:35:58 +0000 2020,1243147643490119680,Phil Vollman ✝✝ MAGA...WWG1WGA...USMC ✝,,,,USA
1261983899464409090,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:36:22 +0000 2020,823555937298477056,AMRCH II 🇺🇸🗽🦅🇺🇸#MAGA#KAG 🇺🇸 OPEN AMERICA,,,,East coast USA
1261983908314431491,"Esse momento é nossoooo,é nossoooo💥💥💥💥 #vaitomarnocucorona #ChinaCoronaVirus #mocego o krlha4 kkkkkk vem Baldizinnn🍻,Rolezinnnn🔊🎶🎵😎😎😎 https://t.co/0ZToHrwOyb",vaitomarnocucorona ChinaCoronaVirus mocego,pt,Sun May 17 11:36:24 +0000 2020,535982559,André Tavares,,,,TIMBAÚBA
1261988467082330116,"Kerala Covid 19 Updates
#Covid19 #covid19india #corona #coronaindia #coronakerala #kochi #covidupdates #viakochi #kochiupdates #ernakulam https://t.co/Oe4r35pdIp",Covid19 covid19india corona coronaindia coronakerala kochi covidupdates viakochi kochiupdates ernakulam,en,Sun May 17 11:54:31 +0000 2020,52825807,Via Kochi,,,,"Kochi, India"
1261989280857165824,#ChinaLiedAndPeopleDied https://t.co/m0Tmdg8CFa,ChinaLiedAndPeopleDied,und,Sun May 17 11:57:45 +0000 2020,953017007989018624,Teo García,,,,"Texas, USA"
1261989330685513728,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:57:57 +0000 2020,824687937233293313,Lori17,,,,"Ohio, USA"
