,Unnamed: 0,tweet_link,tweet,raw_label1,labeler_id1,raw_label2,labler_id2,raw_label3,labeler_id,secondary_label,additional_notes,label
11,11,https://twitter.com/edent/status/1226132331964116993,After watching pigs being burnt alive in China I wouldn't mind that whole political party running that country come down with that virus and die horrible deaths... At least kill them first you heartless bastards!! #deathtochina,stigmatizing - low,101,not stigmatizing,12.0,stigmatizing - high,102.0,Chinese government (Chinese communist party - CCP),"virus, violent",stigmatizing
12,12,https://twitter.com/edent/status/1229028285335498754,"In Dean Koontz’s 1981 book In The Eyes of Darkness, there is a disease that kills thousands, and it originated from a Chinese military lab in Wuhan ; creates a virus as part of its biological weapons programme.
  #coronavirus 
 #WWIII",stigmatizing - low,101,not stigmatizing,13.0,stigmatizing - low,102.0,Bio-weapon;Information or misinformation;Wuhan virus lab,,stigmatizing
13,13,https://twitter.com/edent/status/1235709937197568001,"Tech companies are getting more aggressive to fight COVID-19 hoaxes URL 
 

 If you State the obvious, that the Chinese should stop eating BATs, that BATs carry Corona Virus, the ban your ass.",stigmatizing - low,101,not stigmatizing,13.0,stigmatizing - low,102.0,Wet market and eating habits,,stigmatizing
14,14,https://twitter.com/edent/status/1240711466765991938,"He called it what everyone else called it, the Wuhan Virus, until the CCP went on a media propoganda campaign to lie and say it originated in an American Military lab. This is what they do. I lived there. He is fighting back against their lies.",stigmatizing - medium,101,not stigmatizing,14.0,not stigmatizing,102.0,Chinese government (Chinese communist party - CCP),,not stigmatizing
15,15,https://twitter.com/edent/status/1233460787697635330,In China they eat bats rats dogs and cats they’d definitely eat her as well,stigmatizing - medium,101,not stigmatizing,18.0,stigmatizing - medium,102.0,Wet market and eating habits,,stigmatizing
16,16,https://twitter.com/edent/status/1256172548007489537,PAKYU #pagcor 😡 Don’t fucking lie to the Filipinos by saying that these bat-eating pigs from China are free from #covid19 Tell this asshole #duterte to stop POGO operations in this country 😡 URL,stigmatizing - high,101,not stigmatizing,20.0,stigmatizing - high,102.0,International politics,,stigmatizing
17,17,https://twitter.com/edent/status/1232729900643053568,"Once proven China’s biological weapons lab was the source, China MUST be held responsible for every penny in economic looses and human tragedy THEY CAUSED! Even if military force is required to empty their treasury and seize their assets, they MUST PAY! URL",stigmatizing - low,101,not stigmatizing,13.0,stigmatizing - low,102.0,Bio-weapon;Wuhan virus lab,,stigmatizing
18,18,https://twitter.com/edent/status/1245839417790660612,People are dying everywhere and China is placing bans on cat and dog meat consumption. See any links here? #Coronavirus #CoronavirusPandemic #CoronavirusUSA URL,not stigmatizing,101,stigmatizing - low,16.0,stigmatizing - low,102.0,COVID-19 cases and deaths statistics;Wet market and eating habits,,stigmatizing
19,19,https://twitter.com/edent/status/1254266899774558210,"would be great to see a skit where obama admin paid COMMUNIST CHINA to fuck with viruses...how bout the truth, that they knew wuhan lab was dangerous, put moratorium on the study and fauci approved another 3.7 mil. to kill us",stigmatizing - low,101,unknown/irrelevant,7.0,stigmatizing - low,102.0,Chinese government (Chinese communist party - CCP);Information or misinformation;International politics,Anthony Fauci,stigmatizing
20,20,https://twitter.com/edent/status/1233278837091422208,"If the euro’s get cancelled down to bat soup eating bastards giving everyone Coronavirus then it’s all out war against China, strap up.",stigmatizing - medium,101,not stigmatizing,18.0,stigmatizing - medium,102.0,Wet market and eating habits,,stigmatizing
21,21,https://twitter.com/edent/status/1234144156953522176,"1918 Pandemic started in China 
 Later was called the Spanish Flu
 

 1918 Flu Pandemic That Killed 50 Million Originated in China, Historians Say. Patients lie in an influenza ward at a U.S. Army camp hospital in Aix-les-Baines, France, during World War I.",stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - low,102.0,Other,adapting infomation to target China,stigmatizing
22,22,https://twitter.com/edent/status/1244883805753745409,"I've said from day #1 that COVID-19 is a Bio-weapon manufactured by China and supported and paid for by Bill Gates, George Soros and supported by Democrats. Not from eating bats. Time to lay some smack on China and those involved and make them pay dearly.",not stigmatizing,101,stigmatizing - high,15.0,stigmatizing - high,102.0,Bio-weapon;Information or misinformation,,stigmatizing
23,23,https://twitter.com/edent/status/1224674179871584257,"Instead of being harsh about the Chinese immigrants, this should be a splendid opportunity to focus the eyes of the world in the animal cruelty in China. Not just to cats and dogs but to all the creatures they torture and eat. Let this be the time the world shows its disgust.",not stigmatizing,101,stigmatizing - high,12.0,not stigmatizing,102.0,Wet market and eating habits,,not stigmatizing
24,24,https://twitter.com/edent/status/1231257801592311814,More than 100 wild animals in China died from poisoning in a mass die-off seemingly triggered by ... URL via  CHINA IS KILLING MASS AMOUNTS OF ANIMALS CAUSE CHINA DOES NOT KNOW HOW TO SOLVE THE VIRUS,stigmatizing - low,101,not stigmatizing,13.0,not stigmatizing,102.0,Other,,not stigmatizing
25,25,https://twitter.com/edent/status/1224375899577110528,"China now has 3 biological problems on its hands as the same time:
 

 1. Coronavirus (17,238 confirmed cases in ; 361 deaths)
 2. African Swine Flu (100 million+ pigs killed)
 3. Bird flu ( H5N1 bird flu)
 

 The third one has just started and may be minor. Not clear. URL",not stigmatizing,101,stigmatizing - low,12.0,not stigmatizing,102.0,COVID-19 cases and deaths statistics,,not stigmatizing
26,26,https://twitter.com/edent/status/1222807500812177408,"As if the hugely corrupt Chinese government aren’t behind this. Chinese people have been eating bats, snakes raw fish for centuries and never died of such “Corona Virus”. China is over populated, this is the governments unethical way of discreetly killing the masses #corona",stigmatizing - low,101,not stigmatizing,4.0,stigmatizing - low,102.0,Chinese government (Chinese communist party - CCP);Wet market and eating habits,,stigmatizing
27,27,https://twitter.com/edent/status/1245599009781112833,"Covid-19 effect dips: China reopens markets selling bats, cats and dogs - ​China's deadly 'wet markets' are... URL via 
  
 #COVID19Pandemic",unknown/irrelevant,101,stigmatizing - low,15.0,stigmatizing - low,102.0,Wet market and eating habits,duplicate,stigmatizing
28,28,https://twitter.com/edent/status/1222381499451764736,"#Coronovirus 
 China have invented dishes as how to eat Lizard,Bat,Snake,Frog, Mouse,Rat,Cat,etc.,etc., 
 They will sure find a way to overcome this silly #coronavirus
 If it is in good taste, they will invent a dish to eat this virus also. 
 Best wishes. And Sorry.",stigmatizing - medium,101,unknown/irrelevant,4.0,stigmatizing - medium,102.0,Wet market and eating habits,,stigmatizing
29,29,https://twitter.com/edent/status/1230732586743287811,"Well said, Sen Gardner.
 

 The outbreak of the #Coronavius has highlighted the importance of transparency. If #China hasn’t censored the truth, better precautions would hv been carried out to fight the virus.
 

 #China is a threat to the world, please impose more sanctions on them! URL",stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - medium,102.0,Chinese government (Chinese communist party - CCP);International politics,,stigmatizing
30,30,https://twitter.com/edent/status/1224547019576029185,"Aye man, if I found out that the meat they give us from Chinese spots is Cat, Dog or other. I’m not gonna even be mad. I’ll keep eating it URL",stigmatizing - low,101,unknown/irrelevant,12.0,stigmatizing - low,102.0,Wet market and eating habits,,stigmatizing
31,31,https://twitter.com/edent/status/1229453601744883712,"Senator Tom Cotton just raised a rumor. 
 China always lies, Senator is not the one to blame anyway, the Communist China is.
 It’s always about politics, regarding the cover up of news, corruption wif and the suppression of freedom. #China_is_terrorist #coronavirus #Wuhan",stigmatizing - medium,101,not stigmatizing,18.0,stigmatizing - medium,102.0,Chinese government (Chinese communist party - CCP);International politics,,stigmatizing
32,32,https://twitter.com/edent/status/1240772414159704064,"#Chinese took ""original"" #Sars ; changed it into #SARSCoV2 They matched #Sars with the agressivity of #Aids #Virus in #Wuhan #China in the only #biosafety level 4 Facility (which is near the market where they BUTCHER wild #animals ); BLAME THE #animals THIS FKIN EVIL LIARS! URL",stigmatizing - high,101,not stigmatizing,14.0,stigmatizing - high,102.0,Chinese government (Chinese communist party - CCP),,stigmatizing
33,33,https://twitter.com/edent/status/1221988449328168962,Imagine the world at risk for the Coronavirus just because the Chinese wanted to eat rats and bats 😕 Absolute shit,stigmatizing - medium,101,not stigmatizing,18.0,stigmatizing - medium,102.0,Anti-stigmatizing (talking against hate speech and racism),,stigmatizing
34,34,https://twitter.com/edent/status/1234031159744585728,Did China Close First Lab To Sequence Covid-19 Out Of Fear It Would Lose Bat Soup Narrative? URL #Money #Finance #Economics #Market,stigmatizing - low,101,not stigmatizing,13.0,stigmatizing - low,102.0,News,,stigmatizing
35,35,https://twitter.com/edent/status/1256929750637035522,"asks the Chinese laboratory explains coronavirus is of natural origin. How did the Chinese die? bats and other animals are eaten. 
 Support Panama to help patients continue to fight fight to win the coronavirus.",stigmatizing - medium,101,not stigmatizing,7.0,stigmatizing - low,102.0,Information or misinformation;International politics;Wet market and eating habits,"somewhat irrelavant info, but still half stigmatizing",stigmatizing
36,36,https://twitter.com/edent/status/1222816110933757952,"Um, yes it is. Wild animals carry viruses that are benign to them but dangerous to humans. The CCP must shut down filthy wet markets in China to put a stop to eating wild animals",stigmatizing - low,101,not stigmatizing,10.0,stigmatizing - low,102.0,Chinese government (Chinese communist party - CCP);Wet market and eating habits,,stigmatizing
37,37,https://twitter.com/edent/status/1240576114290032640,"Lives hve been lost due to negligence of the Chinese government. The world is at stand still and many lives destroyed forever. Time for the WHO to set a benchmark how far we can go when it comes to eating wild animals. Eating of Monkeys 🐒 , bats, baboons should be banned",stigmatizing - low,101,not stigmatizing,14.0,stigmatizing - low,102.0,Wet market and eating habits,,stigmatizing
38,38,https://twitter.com/edent/status/1222031291178258432,"That coronavirus strain was originally transmitted from animals to humans.. A virus found only in bats specifically . Snakes are also known to eat bats in the wild , and they are also sold to the fish market in China . Where the virus originated “.",stigmatizing - medium,101,not stigmatizing,4.0,stigmatizing - medium,102.0,Information or misinformation;Wet market and eating habits,,stigmatizing
39,39,https://twitter.com/edent/status/1247629392961916928,"Plus the wet markets are open again -- the Chinese continue to eat bats, rats, dogs and cats and any other creepy slimy thing they can sell.
 #China #wetmarkets #Wuhan #coronavirus #COVID19 
 ➡️There will only continue to be one pandemic after another because THEY REFUSE TO CHANGE! URL",stigmatizing - medium,101,not stigmatizing,7.0,stigmatizing - medium,102.0,Information or misinformation;Wet market and eating habits,,stigmatizing
40,40,https://twitter.com/edent/status/1240914664562790401,"If you’re referencing the ‘bat soup’ video, that was actually in Palau in the Pacific, not China, and was filmed in 2016, and there’s also a massive chance that this virus has nothing to do with what they eat. But yeah they eat some weird shit.",not stigmatizing,101,stigmatizing - medium,14.0,stigmatizing - low,102.0,Information or misinformation;Wet market and eating habits,,stigmatizing
41,41,https://twitter.com/edent/status/1233803792312758272,"You think that more CDC dollars spent in China would have gotten them to stop eating bats, snakes and cats? Would it have stopped the murderous party leaders from stifling flow of information?",stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - medium,102.0,Wet market and eating habits,,stigmatizing
42,42,https://twitter.com/edent/status/1223048081794576384,"A) Racism and biology are two different thing that are not related.
 

 B) Cook BETTER if you're using meat.
 

 C) Go to china and attempt to survive living as a Christian and eating bats there virgen de soya.
 

 D) Do not trust a guy who look like this, fellows: URL",stigmatizing - low,101,unknown/irrelevant,4.0,unknown/irrelevant,102.0,Wet market and eating habits,,not stigmatizing
43,43,https://twitter.com/edent/status/1221405668206424064,"So Happy Chinese New Year. Year of the rat. Can't help wondering if there were any rats caged with the pigs, dogs, chicken, ducks, and koalas, being sold for their meat on the wet market in Wuhan.
 #CoronaOutbreak #CoronavirusOutbreak #coronaviruswuhan URL",stigmatizing - medium,101,not stigmatizing,4.0,stigmatizing - medium,102.0,Wet market and eating habits,,stigmatizing
44,44,https://twitter.com/edent/status/1230494940087623681,"That trouble you to clarify what we eat the jaguar, China does have a damn people eat wild animals, but limited to the snake, bats, pangolin scales, the small and no damage of wild animals, and people who eat wild animals appeared just in southern China, in the north",stigmatizing - high,101,not stigmatizing,13.0,stigmatizing - high,102.0,Wet market and eating habits,,stigmatizing
45,45,https://twitter.com/edent/status/1222338126741413888,Yeah it was snakes and bats but people in China legit eat bats like I’ve seen videos of people actually eating bats in fucking soup.,stigmatizing - high,101,not stigmatizing,4.0,stigmatizing - high,102.0,Wet market and eating habits,,stigmatizing
46,46,https://twitter.com/edent/status/1233619604603330561,I don’t trust a preliminary test by China to confirm this CORONAVIRUS has mutated to affect dogs and humans. Chinese residents have been killing dogs and cats out of fear. I want solid scientific proof. I’ve dealt with CORONAVIRUS that has same symptoms as Parvovirus.,stigmatizing - medium,101,not stigmatizing,18.0,stigmatizing - medium,102.0,Other,,stigmatizing
47,47,https://twitter.com/edent/status/1244135210494509061,"Chinese eats everything which moves. They eat dogs, bats, insects, scorpion, snakes, all wild animals. So, it's very hard to establish the origin of this virus. Some are suggesting it was bat. Bat consumption is widespread in Wuhan, the city where this epidemic found first.",stigmatizing - medium,101,not stigmatizing,7.0,stigmatizing - medium,102.0,Information or misinformation;Wet market and eating habits;Wuhan virus lab,,stigmatizing
48,48,https://twitter.com/edent/status/1243318650070761476,"POLITICIANS, FORBID KILLING DOGS, ANIMALS AND
 FORBID CRUELTY TO ANIMALS
 IMMEDIATELY
 Control persons: prison forever for murder of animals
 Forbid eating animals
 God sees everything
 Eating animals: Coronavirus 
 Do not be cruel to animals
 do not kill animals URL",not stigmatizing,101,stigmatizing - low,14.0,stigmatizing - low,102.0,Wet market and eating habits,,stigmatizing
49,49,https://twitter.com/edent/status/1222074136127606784,"I like how people just trust that the #WuhanCoronovirus is from bats... 
 

 Do you know the wet market where China claimed the virus was found is 20mins away from the Wuhan Lab?
 The “new SARS” was found in that very lab in 2018. #BioWeapon #chinazi 
 

 #WuhanOutbreak #Wuhanpnemonia URL",stigmatizing - medium,101,not stigmatizing,18.0,stigmatizing - medium,102.0,Wet market and eating habits;Wuhan virus lab,,stigmatizing
50,50,https://twitter.com/edent/status/1276983118524628992,"Blame China for Wujan China Virus! 
 We are at WAR! President Trump is often the only one fighting for us!!! Blame Soros, BLM, Antifa, RINOS, Socialist Democrats' insurrection militia terrorizing our people! Blame #FakeNews Enemy of the People. What are YOU doing to fight evil?",stigmatizing - high,101,not stigmatizing,8.0,stigmatizing - high,102.0,Donald Trump;Information or misinformation;Wuhan virus lab,,stigmatizing
51,51,https://twitter.com/edent/status/1234455408271613953,"The #coronavirus was created as bio-weapon in a lab in #Wuhan, which accidentally leaked from the lab through bats and infected China and the world. #China_is_terrorist",stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - medium,102.0,Bio-weapon;Wuhan virus lab,,stigmatizing
52,52,https://twitter.com/edent/status/1233650696299438080,Speculation on my part is that this was lab created as a weapon of biological warfare that somehow got leaked. I don't think China is telling the truth about any of it.,stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - medium,102.0,Bio-weapon;Chinese government (Chinese communist party - CCP),,stigmatizing
53,53,https://twitter.com/edent/status/1240571601621520384,"Those who watched #Chernobyl know what happened. Replace the nuclear plant with the #coronavirus and the Soviet dictatorship with the Chinese. 
 

 Both dictatorships lied and concealed info that could have saved countless lives.
 

 PRC China is to blame and freedom is the solution. URL",stigmatizing - medium,101,not stigmatizing,14.0,stigmatizing - medium,102.0,Chinese government (Chinese communist party - CCP),,stigmatizing
54,54,https://twitter.com/edent/status/1230024631073017856,"watching #洪武三十二 Epi.7: a princess and a palace guard had been in trouble in the countryside without food, so they had no choic but to kill and eat #bats, which are very popular in #Wuhan and mainlandChina 😱… URL",stigmatizing - low,101,not stigmatizing,13.0,stigmatizing - low,102.0,Wet market and eating habits,,stigmatizing
55,55,https://twitter.com/edent/status/1222458236231548929,MyPOV: let's say a bioweapons program went awry 6 months ago and lab animals went in the wild and were contaminated. then a large wild meat marketplace retintroduced the virus back into the human population #chinavirus #coronavirus #china,stigmatizing - medium,101,not stigmatizing,18.0,stigmatizing - medium,102.0,Bio-weapon;Wet market and eating habits;Wuhan virus lab,duplicate,stigmatizing
56,56,https://twitter.com/edent/status/1220082520143712257,"""Nur ein man."" 3-7 day incubation. Pneumonia kills International travel protocol 1 advisement coming when Barn doors after the horse when? Communist biological warfare (#SARS). Chinese Vice Premier Liu He face says everything.",not stigmatizing,101,stigmatizing - low,8.0,stigmatizing - low,102.0,Bio-weapon;Other,,stigmatizing
57,57,https://twitter.com/edent/status/1220523148711514114,"So far, articles have attributed to:
 👉 Bat soup
 👉 Snakes
 👉 Snakes that ate bats
 👉 Food contaminated by rodents
 👉 Wild game 
 👉 Wuhan biolab
 👉 Canadians sending biohazards
 👉 CCP depop due to pending revolution because of protein shortage 
 👉 Deep State
 

 Choices, choices...",stigmatizing - medium,101,unknown/irrelevant,4.0,stigmatizing - medium,102.0,Chinese government (Chinese communist party - CCP);Information or misinformation;International politics;Wet market and eating habits;Wuhan virus lab,,stigmatizing
58,58,https://twitter.com/edent/status/1245213846702305283,"Chinese people please stop killing dogs ; cats! They’re not meant to be eaten this is EVIL, CRUEL ; disgusting. There’s so much other food available to eat! Stop eating our companions ; creatures🚫😤 So many have died because of China this year!! 💔 #SpreadAwareness #Coronavirus URL",stigmatizing - medium,101,not stigmatizing,7.0,stigmatizing - medium,102.0,Information or misinformation;Wet market and eating habits,,stigmatizing
59,59,https://twitter.com/edent/status/1230866602284830721,"Physically challenged ones are more likely to be killed. People in China, especially men like to feast on wild animal parts to cure their ED. Take first man to die, who is nicknamed good old ghost, feeds off scavenging the confirmed source of the virus—HN wet market,has no family",stigmatizing - low,101,not stigmatizing,18.0,stigmatizing - low,102.0,Wet market and eating habits,,stigmatizing
60,60,https://twitter.com/edent/status/1233245616253239297,"We went inside a 'wild market' selling bat meat and people were not afraid of coronavirus URL via 
 No Corona virus in Indonesia or Bali with wild ; domestic animal meat for sale ? As for an illegal market in China absolute BS they Govt wouldn’t know ?",stigmatizing - low,101,not stigmatizing,13.0,stigmatizing - low,102.0,News;Wet market and eating habits,,stigmatizing
61,61,https://twitter.com/edent/status/1280072286687555584,Chinese army PLA (Plain) Solders move back about 2 km due to the fear of Indian army #COVID19 #ChinaGetOut #China The wholr world is paying the bill of fucking virus originated from the buttock of she Jean ping the fucking Bastard #destroy china at any cost,stigmatizing - medium,101,not stigmatizing,8.0,stigmatizing - medium,102.0,Chinese government (Chinese communist party - CCP),,stigmatizing
62,62,https://twitter.com/edent/status/1252013662606446594,"“China poses a national security threat to the United States”...
 

 Ya think? Huge understatement
 

 They are literally in process of attacking America (and the whole world) with biological warfare! 
 

 - PPE hoarding
 - international flight continuation
 - actively hide virus for 6+ wks URL",stigmatizing - low,101,not stigmatizing,8.0,stigmatizing - low,102.0,Bio-weapon;Chinese government (Chinese communist party - CCP),,stigmatizing
63,63,https://twitter.com/edent/status/1242545428903522304,"Chinese Communist Party's initial cover-up of #coronavirus outbreak ruined its credibility. ; now it decides to intensify its erosion of freedom of press ; transparency by expelling journalists... #Coronavid19 
 URL",stigmatizing - low,101,not stigmatizing,14.0,stigmatizing - low,102.0,Chinese government (Chinese communist party - CCP),,stigmatizing
64,64,https://twitter.com/edent/status/1235265928956383233,No this was CCP that created this this problem by lying about it like all communists do. Also if people where more hygienic this sort of thing would not happen. The viral outbrake started in china the first cases was there and the virus is found in wild animals around wuhan.,stigmatizing - low,101,not stigmatizing,13.0,stigmatizing - low,102.0,Chinese government (Chinese communist party - CCP),,stigmatizing
65,65,https://twitter.com/edent/status/1229018731910696960,The can snuff eat and do what they like. I see China and the labs have identified this little harmless creature snakes and bats as the new couriers of Corona Virus,stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - low,102.0,Information or misinformation;Wet market and eating habits;Wuhan virus lab,,stigmatizing
66,66,https://twitter.com/edent/status/1289219538907615233,"In Texas, we have a virology lab trying to deliberately infect 6 different kinds of animals with covid19. Paid for with taxpayer money. Cats, dogs, guinea pigs, mice, rats you name it.
 Director came out early on lauding Chinese for their “transparency” re covid19.",not stigmatizing,101,stigmatizing - low,17.0,stigmatizing - low,102.0,COVID-19 cases and deaths statistics;Information or misinformation;Wet market and eating habits,,stigmatizing
67,67,https://twitter.com/edent/status/1234876709964566530,Did #China Close First Lab To Sequence Covid-19 Out Of Fear It Would Lose Bat Soup Narrative? URL,stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - medium,102.0,News,,stigmatizing
68,68,https://twitter.com/edent/status/1249495404019879936,"It doesn't matter if you believe this virus was created in a lab or a Wet Market. They ought to be shut down. 
 

 People should not be eating bats or buying meat sold outside with no refrigeration or water. It's just plain crazy.
 #COVID19 #ChinaLiedAndPeopleDied #CoronavirusNY",stigmatizing - medium,101,not stigmatizing,7.0,stigmatizing - medium,102.0,Wet market and eating habits,,stigmatizing
69,69,https://twitter.com/edent/status/1239892197610160128,Chinese dictators Bastards first create a mass murdering bio weapon ; play saint now. Kills millions of innocents #WuhanVirus #ChineseVirus #CommunistVirus #COVID2019 #coronavirusindia #CoronavirusOutbreak,stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - medium,102.0,Bio-weapon;Chinese government (Chinese communist party - CCP);Information or misinformation,,stigmatizing
70,70,https://twitter.com/edent/status/1234746228614651904,"the only thing i disagree with you bout the current #ncovid19 #coronavirus compared to the h1n1 virus swine flu, Is This one seems WAY worse. It seems to spread faster, kills faster. Man made in Wuhan China biowarfare lab. But of course I hope n 🙏 u r correct.",stigmatizing - low,101,not stigmatizing,13.0,stigmatizing - low,102.0,Bio-weapon;Information or misinformation;Wuhan virus lab,,stigmatizing
71,71,https://twitter.com/edent/status/1228754184964595723,"He's planning on isolating himself from the plague that has been unleashed in China. Zechariah 14:12. People believed that this would be a nuclear war. NOW, we know that it is this 'Agent' that is doing it. It's NOT coronavirus, that's a complete lie. It's a biowarfare chemical!",not stigmatizing,101,stigmatizing - low,13.0,stigmatizing - low,102.0,Bio-weapon,,stigmatizing
72,72,https://twitter.com/edent/status/1222698586296791042,Just wonder how can I let people know there's no bat/dog/rat/snake etc. sold in all chain supermarkets in China. Dont know there're people eating bat until virus spread. I am shocked. Dont deny there're dark markets sell wild animals #BatSoup #bats,not stigmatizing,101,stigmatizing - low,17.0,stigmatizing - low,102.0,Wet market and eating habits,,stigmatizing
73,73,https://twitter.com/edent/status/1224617246796013569,If we consider sm western theories which claim the virus had leaked from the Chinese biowarfare lab as true China was developing a weapon for killing Chinese ppl. Hmmm...,not stigmatizing,101,stigmatizing - high,12.0,stigmatizing - high,102.0,Bio-weapon;Wuhan virus lab,,stigmatizing
74,74,https://twitter.com/edent/status/1231910109401485313,"Not a bad idea. Bats, snakes, cats, dogs, anything that crawls, walks or swims is eaten in China and can be found in these filthy markets. URL",stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - medium,102.0,Wet market and eating habits,,stigmatizing
75,75,https://twitter.com/edent/status/1236156555827036160,HELLO WORLD #COVIDー19 a man made virus causing genocide of mankind..HITLER'S STYLE..why no sanction on CHINA..THEY KILLED UNDISCLOSED NUM.OF PPL AND MANY SUFFERING,stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - high,102.0,Chinese government (Chinese communist party - CCP);Information or misinformation,,stigmatizing
76,76,https://twitter.com/edent/status/1221846204948144129,"Coronaviruses: spreading across the world started in Wuhan,China from eating live snakes/bats at their animal markets.
 •Symptoms are like upper respiratory infection
 •90,000 people effected since December 31st. 
 

 NO CURE. Yet flights still coming in from China. Now it’s here... URL",stigmatizing - low,101,not stigmatizing,18.0,stigmatizing - low,102.0,Wet market and eating habits,,stigmatizing
